,issueDate,patentTitle,abstract,patentNumber,applicants,ipcInfo
0,20190411,IoT 게이트웨이,"본 발명은 IoT 보안 시스템에 관한 것으로, 보다 상세하게IoT 보안 시스템의 IoT 게이트웨이는, 파일 식별정보를 정의하고 게이트웨이 운영에 필요한 파일을 정의된 식별정보 항목에 따라 정렬하여 파일목록을 생성하는 파일 관리부; 및 게이트웨이 운영에 필요한 파일과 상기 파일목록을 저장하는 데이터베이스;를 포함하고 상기 파일 관리부는 게이트웨이에 배포된 파일을 상기 파일목록과 비교하여 파일 이상상태를 감지하는 것을 특징으로 한다.",10-2017-0008858,콘텔라 주식회사,"H04L-029/06,G06F-021/60,H04L-012/24,H04L-012/26,H04L-012/66,H04L-029/08"
0,20180813,IOT 기반의 내의,"본 발명에 의한 IOT 기반의 내의(100)는, 신체에 밀착되는 하의 또는 상의로 구성되는 내의(110)에 있어서, 상기 내의(110)에서, 맥이 뛰는 지점에 대응되는 부분(A)에 부착되어, 착용자의 체온, 맥박, 혈압에 관한 데이터를 발신하는 건강체크모듈(120)을 포함한다.  따라서, 건강을 체크하는 스마트 시계와는 달리, 내의(110)를 착용하면 의식하지 않는 동안에 저절로 건강 상태를 모니터링할 수 있기 때문에, 스마트 시계를 선호하지 않는 사람이 스마트 시계를 착용해야 하는 불편한 점을 해소할 수 있는 효과가 있다.  또한, 요양 병원이나 요양원 내지는 일반 병원에서 24시간 침상 생활을 하는 노인환자 및 치매환자들에게 스마트 시계를 착용시킬 경우, 본인이 풀어서 아무 데나 버리게 되는 문제점이 있었지만, 본원에서는 착용하는 내의(110)에 스마트 시계의 건강 체크 기능을 부가하므로 착용자가 의식하지 않는 가운데 맥박, 혈압, 체온에 관한 데이터를 실시간으로 수신하여 모니터링할 수 있다. 따라서, 보다 용이하게 환자들의 건강을 돌볼 수 있는 효과가 있다.",10-2017-0167586,서경덕,"A41D-001/00,A41B-009/00,A44B-018/00,A61B-005/01,A61B-005/021,A61B-005/024"
0,20180305,IoT 디바이스 전원 원격 관리 및 제어 시스템,"본 발명은 IoT 기반 디바이스의 전원을 원격으로 관리하고 제어하기 위한 시스템에 관한 것이다.  본 발명은 다음과 같은 효과를 발휘한다.  즉, 원격 전원 관리 솔루션은 디바이스의 전원상태, 정상동작 상태에 대한 모니터링뿐만 아니라, 온도·습도·전류·전압 등 디바이스 상태 모니터링과 원격 전원 차단 및 재부팅 기능으로 오류 발생시 신속하고 안전하게 복구할 수 있고, 보안기능을 제공함으로써 안전한 데이터 전송이 가능하게 된다.",10-2017-0145675,큐브바이트 주식회사,"H04L-012/12,H04L-012/10,H04L-029/08"
0,20170612,IoT네트웍 시스템,"본 발명은 IoT 네트웍 시스템에 관한 것이다. 본 발명은, IoT 네트웍(Internet of Things)와 관련된 사물을 구성하기 위한 계층인 피지컬 레이어(physical layer)(110); 피지컬 레이어(110)에서의 사물을 가상 객체(Virtual Objects, VO)로 표현하며, 가상 객체(VO)를 관리하기 위한 계층인 가상 객체 레이어(Virtual Object Layer, VOL)(120); 가상 객체 레이어(VOL)(120)에서의 가상 객체(VO)에 대해서 두 개 이상의 가상 객체(VO)의 조합에 의해 서비스 객체(Service Objects , SO)를 생성하는 서비스 콤포지션 레이어(Service Composition Layer, SCL)(130); 및 각 서비스 객체(SO)가 생성되면, 하나의 단위의 서비스 객체에 대해서 하나의 시나리오를 위한 유저가 원하는 프로세스의 플로우를 형성하며, 서비스 객체(SO)들의 조인 기반의 모델을 수행하기 위해 비지니스 프로세스 모델링 노테이션(Business Process Modeling Notations, BPMN)을 활용하는 비지니스 프로세스 레이어(Business Process Layer, BPL)(140); 를 포함하는 4개 계층(layer)으로 형성되는 시스템 아키텍처를 구비하는 것을 특징으로 한다.  이에 의해, 본 발명은, IoT 네트웍 어플리케이션들을 생성하고 전개하기 위한인터페이스를 통해 구현함으로써, 서비스 객체들의 표현에 기초한 비지니스 프로세스 모델링 노테이션(Business Process Modeling Notations, BPMN)을 제공할 수 있는 제공한다.  뿐만 아니라, 본 발명은, IoT 네트웍 구성을 위해 유저에게 쉽게 시각화하고 생성된 가상 객체들(VOs)과 상호 작용 및 조작을 허여함으로써, 유저가 쉽게 IoT 네트웍 인프라를 구축할 수 있는 효과를 제공한다.",10-2017-0004553,(주)예원이엔씨,"H04L-012/24,H04L-029/08,H04L-029/10"
0,20191127,IOT 기반 스마트 부표,"IoT 기반 스마트 부표가 개시된다. 본 발명의 IoT 기반 스마트 부표는, 해양 수면상에 부유하며 외부와 통신망을 이용하여 통신가능한 부표로서, 외관을 형성하며 상호 결합되어 내부 수용공간을 형성하며, 센서부와 상기 센서부의 감지정보를 외부 서버로 송신하고 외부 서버로부터 제어신호를 수신하도록 송수신 안테나가 구비되는 한 쌍의 제1 상부 및 하부 하우징; 상기 한 쌍의 제1 상부 및 하부 하우징 내부에 이중구조로 배치되는 한 쌍의 제2 상부 및 하부 하우징; 및 상기 제2 상부 및 하부 하우징에 마련되는 태양광 패널, 상기 태양광 패널에서 생성된 전력을 저장하는 에너지 저장부, 상기 에너지 저장부의 전력을 상기 센서부로 공급하며 그 구동을 제어하고 상기 안테나의 송수신 정보를 제어하는 제어부를 포함하며, 상기 제1 상부 하우징에는 상기 제1 상부 및 하부 하우징 내에서 발생한 습기를 제거하기 위한 습기 제거부가 마련되는 것을 특징으로 한다. 본 발명에 의하면, 제1 상부 하우징에 습기 제거부를 마련함으로써 제1 상부 및 하부 하우징 내에 습기가 발생한 경우 외기 공급에 의해 습기를 효율적으로 제거할 수 있고 내부 전장품이 이상 작동 및 손상되는 것을 방지할 수 있다.",10-2019-0107050,"주식회사 코바코,황용희","B63B-022/00,G01N-033/18,H02S-010/40,H02S-040/38,H04N-007/18"
0,20191223,IoT 플랫폼 서비스 서버,"본 발명은 oneM2M 표준 프로토콜 기반의 개방형 IoT 플랫폼 서버에 관한 것으로, 더욱 상세하게는 전문 지식이 없는 일반 메이커 사용자의 관점에서 보다 쉽고 간편한 구조로 자신이 필요로 하는 사물인터넷 디바이스와 서비스 애플리케이션을 제작하고, 이를 실제 서비스로 연동/구동 할 수 있는 경량화된 개방형 IoT 플랫폼에 관한 것이다.",10-2018-0110168,동명대학교산학협력단,"H04L-029/08,G06F-016/00"
0,20191104,IOT 가전 등록 시스템,"IOT 가전 등록 시스템이 제공된다. 다수의 가전 제어 서버들은 다수의 IOT(IOT: Internet Of Things) 가전들을 무선 통신에 의해 제어하고, 다수의 AI 스피커들은 등록하기 위한 신규 IOT 가전의 모델명을 포함하는 정보(이하, '등록 요청 정보'라 한다)를 음성으로 입력받아 텍스트로 변환하고, 인터페이스 게이트웨이 서버는 AI 스피커들 중 하나로부터 텍스트로 변환된 등록 요청 정보를 수신하면, 상기 수신된 등록 요청 정보 중 모델명에 해당하는 기능 제어 프로토콜을 요청하고, AI 서버는 인터페이스 게이트웨이 서버의 요청에 의해 모델명에 해당하는 기능 제어 프로토콜을 검색하여 인터페이스 게이트웨이 서버 및 가전 제어 서버에게 전송하고, 인터페이스 게이트웨이 서버와 가전 제어 서버는 AI 서버로부터 수신되는 기능 제어 프로토콜을 기반으로 신규 IOT 가전을 등록하고, 인터페이스 게이트웨이 서버는 등록 요청 정보 및 신규 IOT 가전의 기능 제어를 위한 기능 제어 프로토콜을 기반으로 가전 제어 서버와 통신한다.",10-2018-0061839,(주)유비벨록스모바일,H04L-012/28
0,20180716,IoT 스마트 공설 지상 소화전,"본 발명은 지상에 노출되는 소화전본체와 지하에 매설되는 연장통 사이에 냉기차단체가 구비되어 있기 때문에 겨울철의 차가운 냉기가 소화전본체에 닿더라도 연장통측으로 전달되는 것을 차단할 수 있어 동파를 방지할 수 있음은 물론 소화전본체와 연장통과의 연결부분을 통해 누수가 발생되는 것을 방지할 수 있을 뿐만 아니라, 화재 진압 후 소화전본체와 연장통에 잔류하는 소방용수를 배수할 수 있어 소방용수의 잔류에 의한 동파를 방지하도록 하여 겨울철 화재 발생 시 지상 소화전을 통해 소방용수가 토출되지 않게 되는 것을 미연에 방지할 수 있으며, IoT 스마트 장치에 의해 소방용수의 흐름을 실시간 확인할 수 있으며 태양광전지부에 의해 필요한 전력을 공급받도록 하여 경제적인 효과를 얻을 수 있는 IoT 스마트 공설 지상 소화전이 개시된다.",10-2018-0022808,"신진정공 주식회사,경상북도,주식회사 엔시드,(주)엘엔제이","E03B-009/04,E03B-007/07,E03B-009/02"
0,20180814,IoT 기반 안전 기차,"본 발명은, IoT 기반 안전 기차에 있어서, 제1 차량 및 상기 제1 차량을 뒤따르는 제2 차량을 포함하며, 상기 제1 차량은 소정의 경로로 주행할 수 있도록 지원하는 경로감지 센서를 포함하고, 상기 제2 차량은 상기 제1 차량과의 간격을 측정하여 차량 간의 충돌을 방지하기 위한 트래킹 센서를 포함하되, 상기 제1 차량이 상기 경로감지 센서를 통해 소정의 경로로 주행하면, 상기 제2 차량은 상기 트래킹 센서를 통해 상기 제1 차량과 일정한 거리를 유지하며 상기 경로로 주행하는 것을 특징으로 하는 IoT 기반 안전 기차를 개시한다.본 발명에 따르면, 기차의 각 차량이 서로 물리적으로 연결되는 것이 아니라, 센서에 의해 가상으로 연결되도록 할 수 있으며, 앞 차량이 기설정된 임계치를 벗어나는 이상 주행을 할 경우, 뒤따르는 차량은 이를 감지하여 감속 후 정지하도록 할 수 있다.",10-2016-0170828,"김락영,박지원,손주원,박찬혁","B61L-023/14,B61L-003/22,G01S-015/93"
0,20190523,IoT 디바이스 캐싱 방법,"본 발명의 일 실시예에 따른 IoT 디바이스 캐싱 방법은, '비활성 디바이스의 리소스를 담아두는 통'으로 기능하는 리소스 함(Resource bin)이 비활성 디바이스들의 리소스들을 장시간 동안 보유한다.즉, 본 발명의 실시예에 따른 IoT 디바이스 캐싱 방법에서는, 활성화 디바이스에서 비활성화 디바이스들의 리소스들을 제거하는 대신, 리소스 함으로 이동시킨다.",10-2014-0063235,"전자부품연구원,세종대학교산학협력단","H04L-029/02,H04L-012/28"
