,issueDate,patentTitle,abstract,patentNumber,applicants,ipcInfo
0,20200409,가상현실 안경,"본 발명은 내부에 가상현실 기능 부재가 설치되어 있는 안경 본체와, 상기 안경 본체의 원위 단부측에 장착되고, 상기 안경 본체의 원위 단면 사이에 가상현실 콘텐츠를 재생하는 전자 기기를 수납하기 위한 수납실이 형성되어 있는 뚜껑체를 포함하고, 상기 뚜껑체의 내면에는 제1 클램핑부가 설치되고, 상기 안경 본체의 원위 단면에는 제2 클램핑부가 설치되고, 상기 제1 클램핑부와 상기 제2 클램핑부는 상기 전자 기기를 상기 수납실 내에 클램핑하여 위치 제한하는 가상현실 안경을 제공한다. 본 발명의 기술안에 의하면, 전자 기기에 대한 안정한 클리핑을 구현하고 표시 콘텐츠의 안정성을 확보하고, 사용자의 몰입 체험에 영향을 주는 것을 피할 수 있다.",10-2018-7029804,베이징 시아오미 모바일 소프트웨어 컴퍼니 리미티드,"G02B-027/01,G02B-027/02,G02B-030/00,G06F-001/16"
0,20200525,가상현실 헬멧 및 그 사용 방법,"본 발명은 가상현실 헬멧 및 그 사용 방법을 제공한다. 가상현실 헬멧은 상기 저장 모듈에 저장된 가상현실 비디오를 플레이하는 모드, 및 비디오 입력 장치가 연결된 것을 검출하여 상기 비디오 입력 장치가 입력하는 가상현실 비디오를 플레이하는 모드가 있어서, 종래 헬멧의 유선으로 비디오를 입력하는 기능을 만족시킬 수 있을 뿐 아니라, 또한 사전에 저장한 로컬의 비디오를 플레이할 수 있으며, 로컬 비디오를 플레이할 때 사용자는 유선 입력의 제한을 받지 않고 마음대로 움직일 수 있어, 헬멧의 편안함과 현실성 있는 체험감을 크게 향상시킬 수 있다. 바람직한 안에서, 가상현실 헬멧은 근접 센서를 구비하여 사용자의 작용 상태를 검출하고, 사용자가 헬멧을 벗은 것을 검출하면 대기 모드로 전환하고 또한 디스플레이 모듈을 턴오프시켜서 헬멧의 전력 소모를 낮추고, 사용자가 헬멧을 착용한 것을 검출하면 저전력의 대기 모드에서 벗어나 디스플레이 모듈을 턴온시켜서, 사용자 체험을 향상시킨다.",10-2018-7025178,칭다오 고어텍 테크놀로지 컴파니 리미티드,"H04N-013/189,H04N-013/332,H04N-021/4363,H04N-021/81"
0,20200331,가상현실장치에 적용된 터치 제어 장치 및 가상현실 시스템,"본 발명은 가상현실 장치에 적용된 터치 제어 장치 및 가상현실 시스템을 제공한다. 상기 터치 제어 장치는 터치 제어 패널이 포함되고, 상기 터치 제어 패널은 버튼 영역과 터치 영역이 포함되며, 상기 터치 영역은 멀티 터치 타입의 터치패드를 사용하며, 상기 버튼 영역에는 복수개의 기능 버튼들이 구비되고, 상기 터치 영역에는 복수개의 기준점 버튼들이 구비되며; 상기 기준점 버튼들은 외부 가상현실 장치의 디스플레이 시야 내에서 조작 영역의 크기와 위치를 제어하기 위한 것이다. 이에 따라, 본 발명은 기술이 비교적 성숙된 멀티 터치 조작의 방식을 이용하여, 시야 내의 조작 영역의 크기와 위치를 조절하는 기준점 버튼을 설정하여, 사용자가 시선이 차단된 상태에서도 터치 조작을 하는데 편리함을 제공하고 인식율이 높으며, 낮은 원가에서도 사용자 체험을 향상시킬 수 있다.",10-2018-7025177,"고어텍 테크놀로지 컴퍼니., 리미티드.","G06F-003/0488,G06F-003/01,G06F-003/0354,G06F-003/0484"
0,20200303,가상현실 망원경,"가상현실 망원경이 개시된다.  본 발명의 일 실시예에 따른 가상현실 망원경은, 가상현실 망원경의 설치 위치에서 사전에 촬영된 파노라마 영상 중 일정 시야각 범위의 부분 영상을 디스플레이하는 디스플레이 패널; 상기 디스플레이 패널을 수용하는 내부 공간과, 외부에서 상기 내부 공간에 수용된 상기 디스플레이 패널을 관람할 수 있게 형성된 접안구를 포함하는 하우징; 상기 하우징과 결합되어 상기 하우징을 지지하며 상기 하우징이 일정 각도 범위에서 상하 방향 또는 좌우 방향으로 회전되도록 하는 지지 구조체; 상기 하우징의 접안구 주변에 설치되어 상기 접안구에 일정 거리 이내로 접근한 사용자를 감지하는 사용자 감지 센서; 및 상기 사용자 감지 센서에 의해 사용자가 감지된 경우, 상기 디스플레이 패널을 통해 상기 파노라마 영상의 부분 영상이 디스플레이되도록 제어하는 제어부를 포함한다.",10-2018-0146705,김진규,G02B-023/24
0,20190227,가상현실 서버 장치,"이 발명은, 서버 메인보드를 증가시킴으로써 처리 용량을 확장할 수 있는 랙타입으로 서버 본체를 구성함으로써 공간을 적게 차지할 뿐만 아니라, 전원선이나 케이블의 장해를 축소하여 단시간 내에 설치작업을 수행할 수 있도록 하며, 랙 내부에 설치된 선반으로부터 서버 메인보드를 수월하게 인출할 수 있도록 하여 서버 메인보드의 교체나 고장 수리 등을 편리하게 수행할 수 있도록 하고, 서버 메인보드가 흔들림 없이 안전하게 수납될 수 있도록 하며, 함체 내부로 흡입되는 외기를 신속하고도 원활한 흐름을 유지하게 하여 냉각 기능을 향상시킬 수 있으며, 함체의 내부면에는 폴리에틸렌 기반 원료와 발포제를 배합한 발포타입 폴리에틸렌 혼합물을 이용한 제1 절연층과 미세 다공성 폴리올레핀계 합성수지를 이용한 제2 절연층으로 이루어지는 절연층이 코팅되어 있음으로써 전기 사고 및 화재 발생의 가능성을 낮출 수 있는, 가상현실 서버 장치에 관한 것으로서,  이 발명의 구성은, 내부에 공간이 형성되어 있으며 내부면에는 폴리에틸렌 기반 원료와 발포제를 배합한 발포타입 폴리에틸렌 혼합물을 이용한 제1 절연층과 미세 다공성 폴리올레핀계 합성수지를 이용한 제2 절연층으로 이루어지는 절연층이 코팅되어 있는 함체와, 상기 함체의 전방에 설치되는 개폐 도어와, 상기 함체의 내부에 설치되며 양측 브라켓에 체결구멍이 형성되어 있는 선반 받침판과, 상기 선반 받침판의 양측 브라켓의 체결구멍과 고정볼트로 연결되는 체결구멍이 형성되어 있는 세로 프레임과, 상기 선반 받침판의 양측 하방으로 요입시켜 형성한 안내 요홈부에 안내 돌기가 끼워지는 슬라이딩 안내 부재와, 상기 슬라이딩 안내 부재 상부 양측으로 절곡시킨 탄력성을 가지는 끼움부를 통하여 수납되는 서버 메인보드와, 상기 선반 받침판의 후방에 위치하는 양측 세로 프레임에 가로 방향으로 고정볼트로 고정시킨 케이블 및 전원선 덕트와, 상기 함체의 상부에 흡입되는 외기를 선회시키면서 함체 양 측면에 형성한 공기 배출구멍으로 배출시키는 흡입모듈을 포함하여 이루어진다.",10-2018-0124834,주식회사 아이티엔조이,"H05K-007/14,H05K-007/20"
0,20191211,현실공간과의 융합을 제공하는 가상현실 인터페이스 방법 및 장치,"본 발명에 따른 현실공간과의 융합을 제공하는 가상현실 인터페이스 방법은 카메라로부터 획득된 현실공간의 영상 정보를 기초로 가상공간에 투영될 현실공간의 오브젝트 정보를 분석하는 단계, 상기 현실공간의 오브젝트 정보에 따라 상기 현실공간의 오브젝트에 대한 투명정보를 결정하는 단계, 및 상기 투명정보를 기초로 상기 현실공간의 오브젝트 영상과 상기 가상공간을 융합하는 단계를 포함한다.",10-2018-7013437,주식회사 딥픽셀,"G06T-019/00,G02B-027/01,G06F-003/01,G06T-011/60,G06T-019/20"
0,20191223,가상현실 시스템,가상 현실 시스템을 개시한다.일 실시 예에 따른 가상 현실 시스템은 사용자를 지지하는 플랫폼; 상기 플랫폼 상에 상기 사용자를 위치시키기 위한 지지 장치; 및 상기 플랫폼 상에 위치한 사용자에게 물리적 환경을 조성하는 환경 조성 장치를 포함할 수 있다.,10-2017-0082503,주식회사 오락씰,"G06F-003/01,G06F-003/00,G06T-019/00,H04N-021/274"
0,20180716,가상현실 실시간 모션 시뮬레이터,"베이스와 상부에 설치되는 발판과, 베이스와 발판 사이에 회전 가능하게 설치되는 회전모듈과, 발판의 주변에 위치하도록 회전모듈에 설치되어 함께 회전되는 복수의 지지기둥과, 지지기둥에 승강 가능하게 설치되는 승강모듈과, 발판에 위치한 사용자의 허리위치를 추적하는 제1트랙킹모듈과, 제1트랙킹모듈과 승강모듈을 연결하는 연결부와, 사용자의 무릎의 모션을 트랙킹하는 제2트랙킹모듈 및, 제1트랙킹모듈에서 검출되는 사용자의 모션정보를 근거로 회전모듈과 승강모듈의 구동을 제어하는 제어모듈을 포함하는 것을 특징으로 하는 가상현실 실시간 모션 시뮬레이터가 개시된다.",10-2017-0081092,"주식회사 풀다이브테크놀로지,이형준","G09B-009/00,A61B-005/11,G06Q-050/10"
0,20200121,가상현실 스포츠 펍 시스템,"본 발명은 제 1, 제 2, 제 3 스크린의 스크린 구조와테이블과 의자와 계단과 서빙 통로가 하나의 구조로 구성되는 홀 구조로 이뤄진다. 다수의 테이블과 의자를 전면(前面: front) 제 1 스크린 방향의 일 방향의 시청방향으로 배치하되, 상기 각 테이블과 의자는 각 계단 구조에 구성하고, 상기 테이블의 각 테이블 전단에는 서빙 통로를 구성하고, 상기 다수의 테이블의 시청방향 전면으로는 제 1 스크린을 구비하고, 상기 다수의 테이블의 좌, 우 각 방향에는 각각 제 2, 제 3 스크린을 구성하되, 좌우 시야각 180° 이상, 상하 시야각 100°이상이 되도록 스크린 크기를 구성한다.  또한, 상기 각 테이블 상단에는 테이블 상면을 제한적으로 조명하는 국지조명을 구비하는 가상현실 스포츠 펍 시스템에 관한 것이다.",10-2017-0081372,최해용,"G02B-030/00,G03B-021/56"
0,20120228,가상현실 낚시게임장치,"본 발명은 가상현실 낚시게임장치에 관한 것으로서, 더욱 상세하게는 영상표시기기와;상기 영상표시기기 앞에서 움직이는 제어봉의 움직임을 감지하여 그 감지된 제어봉의 움직임정보를 제어장치부로 출력하는 위치감지부와;사용자가 가상 낚시게임을 구현할 수 있도록 봉 형태로 형성되고, 그 움직임상태를 위치감지부에서 인식할 수 있도록 IR신호를 송출하는 제어봉과;3D 컨텐츠로 이루어진 다양한 어종들이 랜덤하게 움직이는 가상현실 낚시터영상을 영상표시기기에 출력하여 화면 표시되도록 하고, 제어봉의 온동작 상태가 감지되었을 때 가상 낚시터 화면에 낚시줄을 표시한 후 위치감지부에서 감지된 제어봉의 움직임정보에 의해 제어봉의 급격한 움직임 변화가 감지되었을때 낚시줄의 끝에 매달린 낚시바늘 부근에 존재하는 물고기가 낚인것으로 판단하고, 그 낚시바늘에 걸린 물고기에 대한 상세정보가 화면에 출력되도록 제어하는 제어장치부; 를 포함하여 구성한 것을 특징으로 한다.  본 발명에 의하면, 3D 컨텐츠(영상)로 표현되는 다양한 종류의 물고기가 자유롭게 유영하는 가상현실 낚시터 화면을 가정내에 설치된 영상표시기기(TV)에 출력하고, 그 영상표시기기에 표시된 가상현실 낚시터 화면상에서 제어봉을 이용한 낚시게임을 구현하여 잡힌 물고기에 대한 상세정보를 화면상에 출력하여 사용자가 낚시게임과 함께 다양한 물고기에 대한 상세정보를 획득할 수 있음은 물론 잡힌 물고기에 대한 상세정보를 웹서버에 저장시켜 사용자가 웹서버에 접속하여 자신이 잡은 물고기에 대한 상세정보를 반복적으로 학습할 수 있도록 하는 효과를 기대할 수  있다.",10-2009-0064112,"전국진,주식회사 프라이머스코즈","A63F-013/06,A63F-013/04,A63F-009/30"
