,issueDate,patentTitle,abstract,patentNumber,applicants,ipcInfo
0,20200929,드론,"드론의 운동 시작 또는 전환시에 발생하는 딜레이를 최소화하기 위해, 수직 추력 및 수평 추력을 형성하는 메인 구동부, 수평 추력을 형성하는 서브 구동부 및 수평 방향 이동에 대한 제어신호가 입력되면 이동 방향에 대응하여 상기 메인 구동부 및 상기 서브 구동부를 구동시키고, 이후 상기 메인 구동부의 출력은 유지시키고, 상기 서브 구동부의 출력은 감소시켜 목표 속도에 도달 및 유지하도록 하는 제어부를 포함하는 드론을 제공한다.",10-2019-0033961,(주)니어스랩,"B64C-039/02,B64C-027/02,B64C-027/52"
0,20190403,드론,"본 발명의 실시예에 따른 드론은, 자이로 로터 유닛(20)에 플라이휠(26)과 베인(28)을 포함하여 구성하고,  상기 플라이휠(26)을 회전시킴으로 비행체의 진행 방향에 대하여 수직 방향으로 양력을 발생시켜 마그누스 효과를 구현하고, 이로써 양력을 보강하며,  플라이휠(26)과 베인(28)이 함께 회전시켜 자이로 효과를 구현하고, 이로써 수평 자세를 복원시켜 안정된 비행을 구현할 수 있다.  또한, 본 발명의 실시예에 따른 드론은, 배터리 전력이 설정된 수준의 이하로 판단될 때 플라이휠을 회전시켜 자이로스코프 효과와 마그누스 효과를 강제로 구현하여 드론이 급작스럽게 추락하는 것을 방지할 수 있다.",10-2019-0003761,"김종성,최영준","B64C-039/02,B64C-017/06,B64C-023/08"
0,20200827,드론,"본 발명의 실시예에 따른 드론은, 제1 플레이트(10); 상기 제1 플레이트(10)에서 제1 프로펠러(45)의 회전축이 상하방향으로 배치된 복수의 스테이 유닛(40); 및 상기 제1 플레이트(10)에서 상기 복수의 스테이 유닛(40)의 사이사이에 배치되며, 제2 프로펠러(55)의 회전축의 자세가 변하는 복수의 틸티 유닛(50);을 포함한다.",10-2018-0115509,안정훈,"B64C-039/02,B64C-027/08,B64C-027/52"
0,20190507,드론,"본 발명은 드론에 관한 것이다. 일 측면에 따른 드론은, 비행체; 상기 비행체의 외측에 배치되는 프로펠러; 상기 비행체의 내부에 배치되어, 상기 프로펠러에 구동력을 전달하는 모터; 및 상기 프로펠러의 외면 상에 구비되어, 전기 에너지로 변환되기 위한 광 에너지를 수집하는 집광판을 포함한다.",10-2017-0154578,전자부품연구원,"B64C-039/02,B64C-027/08,B64C-027/12,B64D-041/00"
0,20190628,드론,"드론이 개시된다. 개시되는 일 실시예에 따른 드론은, 본체 및 적어도 하나의 로터부를 포함하는 드론으로서, 드론에 장착되고, 드론의 착륙 시 수평 균형을 유지하도록 하는 하나 이상의 착륙 보조부를 포함하며, 착륙 보조부는, 드론의 하부에 장착되고, 양단이 개방되어 형성되며 내부가 비어 있는 착륙 보조 하우징, 및 일부가 착륙 보조 하우징의 내부에 수용되고 착륙 보조 하우징의 내부를 따라 이동 가능하게 마련되며, 드론의 착륙 시 수평 균형을 유지하도록 하는 균형 유지 부재를 포함한다.",10-2017-0139945,주식회사 엘에스엘시스템즈,"B64C-025/08,B64C-025/32,B64C-039/02"
0,20170918,드론,"드론이 개시된다. 예시적인 실시예에 따른 드론은, 본체 및 적어도 하나의 로터부를 포함하는 드론으로서, 로터부는, 내부가 비어 있고, 상단부 및 하단부가 각각 개방되어 형성되는 하우징부, 하우징부의 내측에서 하우징부에 고정되는 프로펠러 모터, 프로펠러 모터에 연결되고, 프로펠러 모터에 의해 회전하는 프로펠러, 및 하우징부 내에 형성되고, 하우징부의 내부 공간을 통과하는 기류에 의해 양력을 발생시키도록 마련되는 보조 양력 발생부를 포함한다.",10-2016-0095309,"주식회사 엘에스엘시스템즈,이기섭,강원민,하재옥,강호열,유창수","B64C-039/02,B64C-027/04,B64C-027/12"
0,20170421,드론,"본 발명은 안정적인 운항이 이루어질 수 있도록 하는 날개 구조를 가지는 동시에 부수적으로 장착이 되는 촬영 장치 등이 효율적으로 드론 내에 구비될 수 있도록 하는 랜딩 수단을 가지는 드론을 제공한다.  이를 위해, 본 발명의 실시예에 따른 드론은, 본체를 중심으로 하나 이상의 날개부가 구비되는 드론에 있어서, 상기 본체는 상기 날개부가 체결되는 체결부를 포함하고, 상기 날개부는, 상기 체결부와의 체결을 위한 연결 유닛과 상기 연결 유닛에 결합되어 추진력을 발생시키는 하나 이상의 날개 유닛을 포함하고, 상기 연결 유닛은, 연결 수단을 통해 소정 각도를 이루며 상기 체결부와 체결되거나 분리되고, 상기 소정 각도는 사용자에 의해 변경되는 것을 특징으로 한다.  이를 통해, 새로운 날개 구조를 채택함으로써 안정적인 운항이 이루어질 수 있도록 하고, 새로운 날개 구조 및 랜딩 수단을 구비함으로써 드론의 운반 과정에서 소형화가 가능하여 드론의 전체적인 이용 효율성을 향상시킬 수 있다.",10-2016-0079938,"주식회사 엠엠피,김진규","B64C-039/02,B64C-011/46,B64C-025/10,B64C-025/32,B64C-027/08"
0,20171128,드론,"본 발명은 조종사 없이 무선전파의 유도에 의해서 비행 및 조종이 가능한 비행체인 드론에 관한 것으로서, 좀 더 상세하게는, 종래 드론 본체의 최외곽에 구비되어 드론 추진체로 사용되는 다수의 고속 회전 블레이드를 생략하는 대신 흡입한 공기를 소정압력으로 압축 후, 고속으로 분사시켜 추진력을 발생시키는 무블레이드형 추진체를 가지는 드론에 관한 것으로,  본 발명에 따른 드론은, 외부로부터 공기를 흡입하여 소정압력값으로 압축시킨 후 배출시키는 압축공기생성부(10, 20); 중앙에 상기 압축공기생성부(10, 20)가 구비되고, 외측면에는 소정간격을 두고 다수의 압축공기배출홀(32)이 형성되며, 내부에는 상기 다수의 압축공기배출홀(32)과 각각 연통되어 상기 압축공기생성부(10, 20)로부터 발생되는 압축공기를 안내 배출시키는 다수의 분기배출로(31)가 형성되는 몸체부(30); 및 상측에서 하측으로 갈수록 중공 반경이 점차 확장되는 내부 중공의 원통 형태로 형성되어 외측이 상기 몸체부(30)에 결합되고, 외측단에는 상기 압축공기배출홀(32)과 연통되게 입구홀(41)이 구비되어 상기 압축공기배출홀(32)로부터 배출된 압축공기가 상기 입구홀(41)을 통해 유입되며, 상측 내주면에는 압축공기가 하측으로 분사되는 분사노즐부(43)가 내주면을 따라 형성되고, 내부에는 상기 입구홀(41)을 통해 유입된 압축공기를 상기 분사노즐부(43)로 안내 배출시키는 분사배출로(42)가 구비되는 추진체(40);를 포함하여 구성되고, 상기 분사노즐부(43)의 하측면에는, 압축공기가 소정방향으로 편향 분사되게 다수의 편향 돌기부(44)가 소정간격을 두고 소정높이로 구비되는 것을 특징으로 한다.",10-2016-0079369,(주)하늘과기술,"B64C-039/02,B64C-029/04,B64D-027/16,F04D-025/08"
0,20171219,드론,"드론이 개시된다. 본 발명의 실시예에 따른 드론은 상하로 연장된 실린더 형상의 메인 몸체; 상기 메인 몸체에 상하 방향으로 회전 가능하게 결합되고, 상기 메인 몸체에 대한 접힘 동작 및 펴짐 동작이 가능한 복수의 보조 몸체; 상기 각 보조 몸체에 지지되는 복수의 구동 모터; 및 상기 각 구동 모터의 모터축에 결합되는 복수의 프로펠러를 포함한다.",10-2016-0076464,이종필,"B64C-039/02,B64C-027/08,B64C-027/12,B64C-027/50,B64D-035/02,B64D-045/00"
0,20180604,드론,"드론이 개시된다. 예시적인 실시예에 따른 드론은, 본체 및 적어도 하나의 로터부를 포함하는 드론으로서, 로터부는, 내부가 비어 있고, 상단부 및 하단부가 각각 개방되어 형성되는 하우징부, 하우징부의 내측에서 하우징부에 고정되는 프로펠러 모터, 프로펠러 모터에 연결되고, 프로펠러 모터에 의해 회전하는 프로펠러, 하우징부의 하단부와 연통하여 형성되고, 프로펠러에 의해 발생되는 기류를 외부로 배출하며, 회전 가능하게 마련되는 기류 배출부, 및 하우징부의 하단부에 형성되고 기류 배출부의 회전 방향을 조절하는 회전 조절부를 포함한다.",10-2016-0075502,"주식회사 엘에스엘시스템즈,이기섭,강원민,하재옥,강호열,유창수","B64C-039/02,B64C-027/08,B64C-027/12"
0,20171128,드론,"본 발명은 조종사 없이 무선전파의 유도에 의해서 비행 및 조종이 가능한 비행체인 드론에 관한 것으로서, 좀 더 상세하게는, 종래 드론 본체의 최외곽에 구비되어 드론 추진체로 사용되는 다수의 고속 회전 블레이드를 생략하는 대신 압축공기를 고속으로 분사시켜 추진력을 발생시키는 무블레이드형 추진체를 가지는 드론에 관한 것으로,  본 발명에 따른 드론(1)은, 외부로부터 공기를 흡입하여 소정압력값으로 압축시킨 후 배출시키는 압축공기생성부(10, 20); 중앙에 상기 압축공기생성부(10, 20)가 구비되고, 외측면에는 소정간격을 두고 다수의 압축공기배출홀(32)이 형성되며, 내부에는 상기 다수의 압축공기배출홀(32)과 각각 연통되어 상기 압축공기생성부(10, 20)로부터 발생되는 압축공기를 안내 배출시키는 다수의 분기배출로(31)가 형성되는 몸체부(30); 및 상측에서 하측으로 갈수록 중공 반경이 점차 확장되는 내부 중공의 원통 형태로 형성되어 외측이 상기 몸체부(30)에 결합되고, 외측단에는 상기 압축공기배출홀(32)과 연통되게 입구홀(41)이 구비되어 상기 압축공기배출홀(32)로부터 배출된 압축공기가 상기 입구홀(41)을 통해 유입되며, 상측 내주면에는 압축공기가 하측으로 분사되는 분사노즐부(43)가 내주면을 따라 형성되고, 내부에는 상기 입구홀(41)을 통해 유입된 압축공기를 상기 분사노즐부(43)로 안내 배출시키는 분사배출로(42)가 구비되는 추진체(40);를 포함하여 구성되는 것을 특징으로 한다.",10-2016-0044900,(주)하늘과기술,"B64C-039/02,B64C-029/02,B64D-027/16,F04D-025/08,F04D-027/00,F04D-029/44"
