,issueDate,patentTitle,abstract,patentNumber,applicants,ipcInfo
0,20200130,블록체인 노드 통신 방법 및 장치,"제 2 블록체인 노드에 의해 송신된 통신 요청이 블록체인 네트워크의 제 1 블록체인 노드에 의해 수신되고, 통신 요청은 제 2 블록체인 노드의 제 2 인증서를 포함하며, 블록체인 네트워크는, 인증 기관(CA)에 의해 송신된 인증서를 저장하고 CA 신뢰 목록으로 미리구성된 서비스 노드를 포함한다. 제 2 인증서에 대응하는 CA 식별자가 결정된다. 제 2 인증서에 대응하는 결정된 CA 식별자가 CA 신뢰 목록에 포함되어 있는지의 여부가 결정된다. 결정된 CA 식별자가 CA 신뢰 목록에 포함되어 있다면, 제 2 블록체인 노드에의 통신 연결이 수립된다. 결정된 CA 식별자가 CA 신뢰 목록에 포함되어 있지 않다면, 제 2 블록체인 노드에의 통신 연결을 수립하는 것이 스킵된다.",10-2019-7021844,알리바바 그룹 홀딩 리미티드,"H04L-009/32,G06F-021/62,G06F-021/64,H04L-029/06,H04L-009/06,H04L-009/30,H04W-012/02"
0,20200727,블록체인 합의 방법 및 디바이스,"본 출원은 블록체인 합의 방법 및 디바이스를 개시한다. 블록체인 합의 방법은 다음을 포함한다. 블록체인 노드가, 합의 절차가 수행될 서비스 데이터를 획득하고, 서비스 데이터의 서비스 유형을 결정하고; 서비스 유형에 기초하여 합의 네트워크로부터, 합의 서비스를 제공하는 적어도 하나의 합의 노드를 선택하고; 선택된 합의 노드가 서비스 데이터에 대한 합의 프로세싱을 수행하도록, 선택된 합의 노드에 서비스 데이터를 전송한다. 합의 서비스를 제공하는 합의 노드가, 합의 절차가 수행될 서비스 데이터의 서비스 유형에 기초하여 선택될 수 있고, 선택된 합의 노드가 서비스 데이터에 대한 합의 프로세싱을 수행한다. 이러한 방식으로, 상이한 서비스들에 대해 합의 프로세싱을 수행하도록 합의 네트워크로부터 일부 합의 노드가 선택되며, 이에 의해, 합의 프로세싱에 참여하는 대량의 합의 노드에 의해 야기되는 긴 합의 프로세싱 지속시간의 문제를 완화시킨다. 이는, 합의 프로세싱 지속시간을 단축시킬 수 있을 뿐만 아니라, 합의 프로세싱 결과의 타당성을 보장할 수도 있으며, 이에 의해, 블록체인 네트워크의 서비스 데이터 프로세싱 효율을 유효하게 개선시킨다.",10-2019-7018785,알리바바 그룹 홀딩 리미티드,"G06F-009/50,G06F-009/54,H04L-029/06"
0,20200615,블록체인 기반 데이터 처리 방법 및 장치,"본원은 블록체인 기반 데이터 처리 방법 및 디바이스를 개시한다.상이한 처리 우선순위를 갖는 서비스 데이터가 처리될 수 있고, 시간에만 기초한 서비스 데이터 처리의 기존 기술의 규칙이 깨어질 수 있고, 상대적으로 높은 서비스 우선순위를 갖는 서비스의 낮은 처리 효율이라는 기존 기술의 이슈가 완화될 수 있도록, 이 방법은 상이한 처리 우선순위를 갖는 서비스 데이터에 대해 처리량(throughput)을 결정하는 단계와, 서비스 데이터가 블록에 저장될 때 상이한 처리 우선순위를 갖는 서비스 데이터가 획득하는 단계를 포함한다.본원의 구현예에서 제공되는 해결수단은 높은 처리 우선순위를 갖는 서비스 데이터의 처리 효율을 보장할 뿐만 아니라, 낮은 처리 우선순위를 갖는 서비스 데이터의 처리 효율을 보장한다. 처리 우선순위가 만족되면, 블록체인에서 서비스 데이터를 처리하는 융통성이 증가되고 서비스 애플리케이션 분야에서의 블록체인의 사용 가치도 향상된다.",10-2019-7018892,알리바바 그룹 홀딩 리미티드,"G06F-016/22,G06F-003/06,G06F-009/48"
0,20200827,블록체인 기반 음악 독창성 분석 방법 및 장치,"본 명세서의 하나 이상의 구현예는 블록체인 기반 음악 독창서어 분석 방법을 제공한다. 구현예에서, 음악 라이브러리 노드 및 음악 분석기 노드를 포함하는 블록체인 네트워크 상에 공개된 음악 파일이 음악 라이브러리 노드에 의해 획득된다. 독창성 및 분석 결과를 나타내는데 사용되는 제 1 독창성 및 분석 다이제스트를 획득하기 위해 로컬 음악 라이브러리에 기반하여 음악 파일에 대한 독창성 분석이 음악 라이브러리 노드에 의해 수행된다. 음악 라이브러리 노드는 독창성 및 분석 결과를 기록하고 인증하기 위해 블록체인 네트워크에 제 1 독창성 및 분석 다이제스트를 공개한다. 음악 분석기 노드는 제 2 독창성 및 분석 다이제스트를 획득하기 위해 제 1 독창성 및 분석 다이제스트를 획득하고 요약하며 제 2 독창성 및 분석 다이제스트에 기반하여 음악 파일의 독창성에 관련된 서비스의 프로세싱을 수행한다.",10-2020-7015528,알리바바 그룹 홀딩 리미티드,"G06F-021/10,G06F-016/182,G06F-016/638,G06F-016/683,G10H-001/00,G10L-025/54,G10L-025/90"
0,20200114,블록체인 시스템과 데이터 저장 방법 및 장치,"본 출원의 실시형태는 블록체인 시스템과 데이터 저장 방법 및 장치를 개시한다. 분배 센터, 비-합의 하위 시스템, 및 수개의 합의 하위 시스템을 포함하는 블록체인 시스템이 생성된다. 비-합의 하위 시스템은 복수의 비-합의 노드를 포함하고, 합의 하위 시스템의 각각은 복수의 합의 노드를 포함하고, 그리고 합의 하위 시스템의 각각은 복수의 합의 노드를 포함하는 컨소시엄 블록체인에 상응한다. 그 결과, 합의 하위 시스템은 상이한 서비스 도메인의 합의 검증을 구별할 수 있다. 합의 노드만이 합의 검증에 책임이 있고, 그리고 합의 하위 시스템 외부의 비-합의 노드가 컨소시엄 블록체인 네트워크의 합의 검증에 참여할 수 없어서, 블록체인 네트워크의 보안을 개선시킨다. 게다가, 분배 센터가 컨소시엄 블록체인과 인터페이싱할 수 있고, 그리고 컨소시엄 블록체인 네트워크 외부의 비-합의 대상(비-합의 노드)만이 분배 센터와 인터페이싱해야 하고, 그리고 상이한 인터페이싱 프로토콜에 따라 복수의 컨소시엄 블록체인과 인터페이싱하지 않아도 되어, 블록체인 네트워크의 편리함을 개선시킨다.",10-2019-7023160,알리바바 그룹 홀딩 리미티드,"H04L-029/06,G06F-016/22,H04L-029/08"
0,20200325,블록체인 노드 사이의 통신 방법 및 통신 장치,"블록체인 네트워크의 제 2 블록체인 노드에 의해 전송된 통신 요청은 블록체인 네트워크의 제 1 블록체인 노드에 의해 수신된다. 제 2 블록체인 노드가 제 1 블록체인 노드와의 맵핑 관계를 갖는지 여부가 결정된다. 만약 그렇다면, 제 2 블록체인 노드에 대한 통신 접속이 확립되고, 그렇지 않으면, 제 2 블록체인 노드에 대한 통신 접속의 확립이 거부된다.",10-2019-7021996,알리바바 그룹 홀딩 리미티드,"H04L-009/32,G06F-016/27,H04L-012/24,H04L-029/06"
0,20200807,블록체인 기반 데이터 프로세싱 방법 및 디바이스,"시스템 리소스 소모에 기반하는, 서비스 데이터의 양이 모니터링되고, 서비스 데이터는 특정된 시간 기간 내에 합의에 따라 프로세싱된다. 블록 생성 시간은 조정된 시간 블록을 생성하기 위해 서비스 데이터의 양에 기반하여 동적으로 조정된다. 새로운 블록은 조정된 시간에 기반하여 생성되고, 새로운 블록 생성은 시스템 리소스 소모와 매칭되는 서비스 수요와 연관된다.",10-2019-7020434,알리바바 그룹 홀딩 리미티드,"G06Q-020/06,G06F-016/18,G06F-016/27,G06Q-020/02,G06Q-020/08,G06Q-020/38,G06Q-020/40,H04L-012/863,H04L-029/06,H04L-009/06,H04L-009/32"
0,20200512,블록체인-기반 데이터 프로세싱 방법 및 디바이스,"본 개시내용은 블록체인-기반 데이터 프로세싱 방법 및 디바이스를 개시한다.방법은 다음을 포함한다: 저장될 서비스 데이터를 수신할 때, 블록체인 노드가 서비스 데이터의 데이터 속성을 결정하고; 서비스 데이터의 데이터 속성이 텍스트 유형인 경우, 블록체인 노드는 서비스 데이터에 포함된 사용자 식별자에 대응하는 미리 결정된 공개-개인 키 쌍의 개인 키를 이용함으로써 서비스 데이터를 암호화하고; 또는 서비스 데이터의 데이터 속성이 이미지 유형인 경우, 블록체인 노드는 서비스 데이터에 포함된 사용자 식별자에 대응하는 미리 결정된 공개-개인 키 쌍의 개인 키를 이용함으로써 서비스 데이터의 다이제스트(digest)를 결정하고 다이제스트를 암호화한다.블록체인 기술의 분산화, 투명성, 템퍼 저항(tamper resistance) 및 신뢰성과 같은 특징들로 인해, 서비스 데이터는 서비스 데이터의 데이터 속성에 기초하여 상이한 프로세싱 방법들을 이용함으로써 블록체인 네트워크에 저장되며, 이는 서비스 데이터의 진위성(authenticity)을 보장할 뿐만 아니라 서비스 데이터가 탬퍼링되지 않음을 보장할 수 있다.",10-2019-7014942,알리바바 그룹 홀딩 리미티드,"H04L-029/06,H04L-029/08"
0,20200827,"블록체인 기반 서비스 실행 방법 및 장치, 및 전자 디바이스","타깃 엔티티의 외관 데이터가 외관 데이터로서 수집된다 - 여기서 상기 타깃 엔티티는, 멤버로서, 블록체인에 액세스할 수 있는 물리적 엔티티를 포함한다.상기 외관 데이터는 상기 타깃 엔티티의 아이덴티티로서 상기 블록체인과 연관된 분산 데이터베이스에 등록된다.상기 블록체인 내의 멤버 노드 디바이스에 의해 개시된 타깃 트랜잭션이 수신된다 - 여기서 상기 타깃 트랜잭션은 상기 멤버 노드 디바이스에 의해 수집된 상기 타깃 엔티티의 외관 데이터 및 상기 타깃 엔티티와 관련된 그리고 상기 멤버 노드 디바이스에 의해 검출된 서비스 이벤트를 포함한다.상기 서비스 이벤트에 대응하는 스마트 컨트랙트가 호출된다.상기 타깃 엔티티의 외관 데이터에 의해 나타내지는 아이덴티티에 기초하여, 상기 스마트 컨트랙트에 명시된 서비스 로직이 실행된다.",10-2019-7015573,알리바바 그룹 홀딩 리미티드,"G06Q-020/38,G06Q-040/00,G06Q-040/04,G06Q-050/26"
0,20191213,블록체인 네트워크,"블록체인 네트워크는 레거시 시스템, 미들웨어 시스템, 및 메인넷을 포함한다. 레거시 시스템은 서비스 제공 서버 및 서비스 제공 서버에 접속하여 서비스를 제공받는 복수의 사용자 단말기들을 포함한다. 미들웨어 시스템은 복수의 미들웨어 노드들을 포함하고, 서비스 제공 서버로부터 수신되는 원본 거래 데이터에 대해 서비스 제공 서버와 제1 합의 알고리즘을 수행하여 원본 거래 데이터의 유효성을 검증하고, 검증에 성공한 경우 원본 거래 데이터를 포함하는 단위 트랜잭션을 생성하고, 단위 트랜잭션에 대해 내부적으로 제2 합의 알고리즘을 수행하여 단위 트랜잭션에 포함되는 원본 거래 데이터의 유효성을 공증하고, 공증에 성공한 경우 단위 트랜잭션을 승인하고 서비스 제공 서버에 원본 거래 데이터가 승인되었음을 나타내는 승인 신호를 전송하고, 기준 시간 동안 제2 합의 알고리즘을 통해 승인되는 단위 트랜잭션들을 포함하는 현재 셀 블록을 생성하고, 현재 셀 블록에 대해 내부적으로 제3 합의 알고리즘을 수행하여 현재 셀 블록을 확정하고 확정된 현재 셀 블록을 복수의 셀 블록들이 연결된 셀 블록체인의 끝단에 추가한다. 메인넷은 복수의 메인넷 노드들을 포함하고, 미들웨어 시스템으로부터 수신되는 단위 트랜잭션을 복수의 메인넷 노드들 사이에 공유되는 메인 블록체인에 저장한다.",10-2019-0113427,(주) 모로보기,"H04L-029/08,G06F-016/18,G06F-016/901,G06F-021/64,H04L-029/06"
