,issueDate,patentTitle,abstract,patentNumber,applicants,ipcInfo
0,20190228,빅데이터 애플리케이션을 위한 다중-다차원 컴퓨터 구조,"본 발명의 일부 실시예에 따라 제공된 데이터 처리장치는, 메인 프로세서에 전기적으로 연결된 프론트-엔드 인터페이스를 포함한다. 이러한 프론트-엔드 인터페이스는, 저장소, 구체적으로 외부 저장장치 및/또는 네트워크에 저장된 데이터를 수신하고, 데이터를 지정하는 액세스 파라미터를 분석하여 데이터가 단일-액세스 데이터인지 또는 다중-액세스 데이터인지 결정한다. 프론트-엔드 인터페이스는, 메인 프로세서에 의한 처리를 위해 다중-액세스 데이터를 라우팅하고, 프론트-엔드 인터페이스에 의한 전처리를 위해 단일-액세스 데이터를 라우팅하고, 전처리의 결과를 상기 메인 프로세서에 라우팅하도록 구성된다.",10-2017-7020721,후아웨이 테크놀러지 컴퍼니 리미티드,G06F-009/50
0,20150402,빅데이터 개인 건강 기록 시스템,"본 발명의 일 실시예에 따른 빅데이터 건강 서비스 시스템은 적어도 하나의 사용자 단말; 적어도 하나의 의료기관 서버; 및 상기 적어도 하나의 사용자 단말 또는 적어도 하나의 의료기관 서버의 계정에 의한 클라우드 접속이 이루어지면, 상기 적어도 하나의 사용자 단말 또는 의료기관 서버와, 상기 적어도 하나의 사용자 단말이 입력하는 입력정보와 상기 의료기관 서버의 진료정보를 포함하는 대상자의 건강의료정보를 송수신하고, 상기 적어도 하나의 사용자 단말 또는 의료기관 서버의 요청에 따라 상기 대상자의 건강 위험도를 평가하고, 뇌졸중 위험을 예측하고, 비만 여부 및 개선 방안을 제공하며, 대사 증후군 관리를 통합적으로 수행하여 해당 정보를 제공하는 건강보험공단 빅데이터 서비스 시스템;을 포함할 수 있다.",10-2014-0156305,국민건강보험공단,G06Q-050/22
0,20151019,빅데이터 분산 시스템,"작업 처리 속도를 향상시킬 수 있는 본 발명의 일 측면에 따른 빅데이터 분산 시스템은 상기 데이터들 중 제1 데이터와 동일한 데이터가 각각 저장된 데이터 노드들의 집합체인 데이터 노드 그룹 중 하나의 데이터 노드인 제1 데이터 노드; 상기 데이터 노드 그룹에 포함되지 않는 데이터 노드들 중 상기 제1 데이터가 재배치되는 경우 제1 데이터가 저장되는 제2 데이터 노드; 분석 시스템의 요청에 따라 상기 데이터 노드 그룹 중 어느 하나의 데이터 노드에 저장된 제1 데이터를 상기 분석 시스템에 전송하고, 상기 제1 데이터에 대한 사용이력 정보를 생성하는 작업 관리 장치; 및 상기 사용이력 정보를 기초로 산출된 상기 제1 데이터의 사용지수, 및 상기 제1 데이터 노드의 사용지수를 이용하여 상기 제1 데이터에 대한 재배치여부를 판단하며, 재배치가 결정되면 상기 제1 데이터 노드에 저장된 제1 데이터를 상기 제2 데이터 노드로 재배치하는 데이터 재배치 장치를 포함한다.",10-2013-0169007,주식회사 포스코아이씨티,"G06F-017/30,G06F-017/40"
0,20200409,빅데이터 분석 시스템 및 빅데이터 분석 방법,"본 발명은 빅데이터 분석 시스템 및 방법에 관한 것이다. 상기 빅데이터 분석 시스템은, 빅 데이터들이 저장된 데이터 저장 장치; 상기 데이터 저장 장치에 데이터를 저장, 처리 및 분석하는 빅데이터 서버; 상기 빅데이터 서버에 접근하여 데이터 분석을 요청하고 결과를 제공받는 빅데이터 클라이언트;를 구비한다. 상기 빅데이터 클라이언트는, 분석 코드 파일 및 상기 분석 코드 파일에 대한 작업 내용을 명시한 작업 기술서 파일을 빅데이터 서버로 제공하고, 상기 작업 기술서 파일을 기반으로 한 분석을 요청한다. 상기 빅데이터 서버는, 상기 빅데이터 클라이언트로부터의 요청에 따라 상기 작업 기술서 파일을 기반으로 하여 빅데이터 분석을 수행하고 결과 파일을 생성하여 제공한다. 상기 분석 코드 파일은 빅데이터 분석을 위하여 소정의 분석용 언어로 작성된 파일이며, 상기 작업 기술서 파일은 입력 파일, 분석 언어, 출력 파일에 대한 정보들이 사전 설정된 양식에 따라 기재된 것을 특징으로 하며, 상기 입력 파일에 대한 정보는 분석 코드 파일의 이름을 포함하며, 상기 분석 언어에 대한 정보는 분석 코드 파일을 분석하기 위하여 사용될 분석용 언어의 종류를 포함하며, 상기 출력 파일에 대한 정보는 분석 코드 파일에 의한 분석 완료시에 분석 결과 보고서 파일의 이름을 포함한다.",10-2018-0083715,강릉원주대학교산학협력단,G06F-016/00
0,20180830,빅데이터 기반 노인성 치매 솔루션 시스템,"본 발명은 빅데이터 기반 노인성 치매 솔루션 시스템에 관한 것이다. 본 발명은, VR 기반 노인생 치매 솔루션 콘텐츠(500); 및 사용자의 이동 좌표를 검출하여 VR 기반 노인생 치매 솔루션 콘텐츠를 적외선 모니터(220)로 구현할 수 있도록 하는 오큘러스 센서(210), 터치스크린 기반으로 터치가 가능한 27인치 적외선 모니터(220), 입력기기 및 마이크 걸이부(230), 이동용 바퀴(240)를 포함하는 빅데이터 기반 VR 콘텐츠 키오스크(200); 를 포함하는 빅데이터 기반 노인성 치매 솔루션 시스템에 있어서, 빅데이터 기반 VR 콘텐츠 키오스크(200)는 VR 기반 노인생 치매 솔루션 콘텐츠(500)를 빅데이터 기반 프로그램으로 실행한 뒤, 사전 설문검사를 실행하고, 게임 콘텐츠를 실행하고, 수행 내용저장에 따라 빅데이터 기반 DB 관리를 수행하는 것을 특징으로 한다.  이에 의해, 빅데이터 기반으로 노인성 치매 솔루션을 위한 진단 시트를 키오스크를 통해 답변하는 형식으로 빅데이터 기반 노인성 치매 솔루션을 제공할 수 있다.  또한, 터치 스크린 또는 음성 입력으로 설문 진단을 답변시 키오스크에서 해서 빅데이터로 저장한 뒤, 전문 기관에 보내거나 관리할 수 있고, DB 결과에 따라 재활에 활용할 수 있는 효과를 제공한다.  뿐만 아니라, 빅데이터를 이용해 재활의 정도를 판단하기 위해 키오스크에 센서를 추가하여 VR 콘텐츠를 바로 실행하고, DB로 내외부에 공유를 통해 많은 사람이 빅데이터에 따라서 콘텐츠를 다양하게 개발할 수 있는 효과를 제공한다.",10-2017-0139231,주식회사 에스와이이노테크,"G06Q-050/22,A61B-005/00,G06F-003/041,G06F-003/16,G06Q-050/10,G09B-023/28"
0,20180123,빅데이터 분석 시스템 및 방법,"본 발명은, 빅데이터 데이터베이스에서 빅데이터 분석 대상 업무를 선정하는 분석 업무 선정 단계, 발생 사건인 팩트에 변화를 줄 것으로 예상되는 상기 데이터 베이스의 컬럼들 중에서 하나 이상의 요소 및 상기 팩트를 선정하는 단계, 상기 단계에서 선정된 상기 하나 이상의 요소 및 상기 팩트를 컬럼으로 하는 마스터 테이블 구축하는 단계, 상기 마스터 테이블의 각 요소들에 대하여 대입할 값을 정의하는 요소별 대입값 정의 단계, 상기 단계에서 정의된 요소별로 정의된 바에 따라 값을 대입하여 결과를 대입결과 테이블에 적재하는 값 대입 및 결과 적재 단계, '최소건수율', '상승조건/하락조건', 및 '팩트변화비율 상/하한값'의 설정값을 정의하는 설정값 정의 단계, 상승조건/하락조건 해당건 전체 추출 단계, 최소건수율 미달건 제외 단계, 역방향 미달 요소 포함 건 제외 단계, 영향력 미달 요소 포함건 제외 단계, 서브조건 제외 단계, 최종결과 테이블에 저장하는 최종결과 적재 단계, 및 결과요약 단계를 포함하는 빅데이터 분석 방법을 제공한다.",10-2017-0091660,전영진,"G06F-017/30,G06N-005/04,G06Q-010/06,G06Q-010/10"
0,20190327,빅데이터 기반 조명제어시스템,본 발명은 해당공간의 조명정보를 수집하는 모니터부; 상기 모니터부로부터 조명정보와 데이터베이스로부터 수신한 조명정보를 분석하여 해당공간의 조명제어정보를 생성하는 빅데이터부; 상기 빅데이터부로부터 조명제어정보를 수신하여 조명을 제어하는 조명부;를 포함하는 것을 특징으로 하는 빅데이터 기반 조명제어시스템에 관한 것이다.,10-2017-0064066,박춘하,H05B-037/02
0,20180529,빅데이터 분석 시스템 및 방법,"사용자의 분석 요청에 따라, 통계 기법들을 수행하는 모듈들에 대한 복수의 질의를 생성하는 입력 분석부, 복수의 모듈들에 의해 처리된 결과에 기초하여 빅데이터를 처리하는 데이터 분석부, 및 분석된 결과를 시각화하여 출력하는 결과 처리부를 포함하고, 복수의 모듈들은 서로 다른 통계 기법들을 각각 수행하며, 데이터 분석부는 빅데이터를 분할하여 처리된 결과들을 병합하고 최소화하여 최종 결과를 생성하는 것인, 빅데이터 분석 시스템이 개시된다.",10-2016-0161838,영남대학교 산학협력단,G06F-017/30
0,20180219,빅데이터 분석 클라우드 서비스 시스템,"빅데이터 분석 클라우드 서비스 시스템이 개시된다. 본 발명의 일측면에 따른 빅데이터 분석 클라우드 서비스 시스템은 빅데이터 분석 모듈을 구비하여, 클라우드 데이터에 대한 빅데이터 분석을 수행하는 복수개의 클라우드 로컬서버들; 및 클라우드 로컬서버들로부터 수신되는 빅데이터 분석 데이터를 기반으로 하는 중앙 빅데이터 분석을 수행하고, 분석 결과를 클라우드 로컬서버들에게 제공하는 중앙 빅데이터 분석서버를 포함한다.",10-2016-0106889,주식회사 이노그리드,"G06F-015/16,G06F-017/30"
0,20161212,빅데이터 스트림 모델링 시스템 및 방법,"본 발명은 빅데이터 스트림 모델링 시스템 및 방법에 관한 것이다. 개시된 빅데이터 스트림 모델링 시스템 및 방법은, 빅데이터를 실시간으로 처리하기 위한 스트림모델링 시스템에 있어서, 빅데이터의 처리방식을 모델링하는 스트림모델링 스튜디오, 상기 스트림모델링 스튜디오에서 모델링한 스트림모델을 저장하고, 각 모델링 요소의 통신을 제어하는 스트림모델링 서버 및 상기 스트림모델링 서버로부터 스트림모델을 전달받아 실행하는 스트림모델링 엔진을 포함하는 것을 특징으로 하는 빅데이터 스트림 모델링 시스템 및 모델링 방법을 제공한다.  본 발명에 의하면, 연속적인 빅데이터가 유입될 때, 지정된 룰에 기반하여 빅데이터의 분석, 저장 및 처리방식을 실시간으로 적용하고 변경할 수 있는 빅데이터 스트림 모델링 시스템 및 방법을 제공할 수 있다는 이점이 있다.",10-2016-0055883,주식회사 위즈온텍,G06F-017/30
