,issueDate,patentTitle,abstract,patentNumber,applicants,ipcInfo
0,20190705,웨어러블 전자 장치,"웨어러블 전자 장치(10)로서, 하나의 헤드셋(20), 하나의 디스플레이부(30) 및 두개의 연결기구(40)를 포함하되, 상기 헤드셋(20)은 두개의 사운더(22) 및 상기 두개의 사운더(22)에 연결된 탄성 밴드(24)를 포함하고, 상기 디스플레이부(30)는 두개의 말단(32) 및 상기 두개의 말단(32)사이에 위치한 중부(34)를 포함하고, 상기 연결기구(40)는 대응되는 사운더(22) 및 디스플레이부(30)의 말단(32)에 각각 연결되고, 상기 디스플레이부(30)의 말단(32)이 상기 사운더(22)에 상대하여 편향할 수 있도록 한다. 따라서, 디스플레이부(30)의 말단(32)이 사운더에 대하여 편향하는 과정에서, 디스플레이부(30)의 말단(32)이 사운더의 편향에 따라 만곡 변형되지 않아, 헤드셋을 벌리는데 필요한 힘의 세기의 변형 회복력이 증가함이 발생하지 않으며, 사용자의 사용을 편리하도록 한다.",10-2017-7022690,선전 로욜 테크놀로지스 컴퍼니 리미티드,"G02B-027/01,H04R-005/033"
0,20200423,웨어러블·스마트·디바이스,"본 발명은 반복 구부림, 반복 비틀림에의 내구성이 우수한, 신축성 도체 조성물로 이루어지는 전기 배선을 갖는 웨어러블·스마트·디바이스 및 그것을 실현하기 위한 재료, 또한 웨어러블·스마트·디바이스의 제조 방법을 제공하는 것을 과제로 한다.  전기 배선 간격이 1 ㎜ 이하이며, 바람직하게는 배선 폭이 1 ㎜ 미만인 세선을 포함하는 전기 배선을 금속계 도전 입자와 비가교형 엘라스토머를 포함하는 신축성 도체 형성용 페이스트를 인쇄함으로써 성형하고, 또한 120℃ 이하, 30분 이하의 저온 조건에서 건조 경화시킴으로써, 엣지 처짐이 없는 세선으로 구성된 전기 배선을 갖는 웨어러블·스마트·디바이스를 얻는다.",10-2018-7028262,도요보 가부시키가이샤,"A41D-001/00,A41D-013/002,H01B-001/22"
0,20200408,웨어러블 완구,"본 발명은, 손목에 착용되는 밴드; 상기 밴드에 설치되며, 선택적으로 빛을 발산하는 조명부를 포함하는 고정체; 및 상기 고정체 상에 안착되며, 상기 고정체 상에서 회전하는 회전체를 포함하되, 상기 조명부는, 상기 회전체가 회전함에 따라 차례로 빛을 발산하는 복수개의 조명부재를 포함하는 웨어러블 완구를 제공한다.  본 발명에 따른 웨어러블 완구에 의하면, 사용자가 고정체를 손목에 착용한 후 회전체를 굴림으로써, 회전체의 회전에 따라 조명부재에서 빛이 단계적으로 발산되도록 할 수 있으며, 회전체의 회전에 따라 스피커부에서 서로 다른 소리가 단계적으로 발산되도록 할 수 있다.",10-2019-0001767,주식회사 히토,"A63H-033/30,A63H-033/22,A63H-033/26,A63H-005/00,F21V-023/04,F21V-033/00"
0,20200324,웨어러블 어플리케이션용 NFC 안테나,"웨어러블 이동 통신 디바이스의 어플리케이션용 NFC 안테나를 포함하는 방법, 장치, 및 시스템이 제공된다. 일 양태에서, 웨어러블 이동 통신 디바이스는 근거리 통신용 프로세싱 유닛을 포함하는 전자기기 블록 또는 전자 보디, 및 착용자가 착용할 때 전자기기 블록을 유지하도록 구성된 조절 가능한 스트랩을 포함한다. 스트랩은 적어도 하나의 권선을 갖는 코일을 형성하도록 연결되어 있고, 또 코일의 권선들 사이의 간격을 채우도록 구성된 비전도성 재료에 의해 분리되어 있다. 코일은 전자기기 블록에 전기적으로 연결되어 있고 근거리 통신(NFC) 안테나를 포함한다.",10-2018-7024229,후아웨이 테크놀러지 컴퍼니 리미티드,"H04B-005/00,H04B-001/3827"
0,20190927,웨어러블 무선 장치의 결합 다중 대역 안테나,"웨어러블 무선 장치가 개시된다. 웨어러블 무선 장치의 일 실시예는 회로 보드, 앞면 및 착용 시 앞면보다 사용자에게 더 가깝도록 구성된 뒷면을 갖고, 회로 보드를 수용하는 하우징 보디, 회로 보드에 전기적으로 연결되고, 하우징 보디의 앞면에 위치된 제1 안테나 소자, 그리고 회로 보드에 전기적으로 연결되고, 하우징 보디의 앞면에 위치된 제2 안테나 소자를 포함한다.",10-2018-7005103,후아웨이 테크놀러지 컴퍼니 리미티드,"H01Q-001/24,H01Q-001/27,H01Q-021/28"
0,20181120,웨어러블 기기,"본 발명은 기판, 상기 기판 상에 도전성 필름이 코팅되어 본딩(bonding)되는 접착부 및 상기 접착부를 기준으로 대칭되어 병렬 접착된 복수의 유연 필름 상에 형성된 멀티 채널 센서부를 포함하고, 상기 멀티 채널 센서부는 상기 접착부 및 상기 유연 필름을 통하여 상기 기판에 접합되는 것을 특징으로 하는 웨어러블 기기에 관한 것으로서, 접착부 및 유연 필름을 이용하여 패치형태의 웨어러블 기기의 전기적 접합이 발생하는 부분에 대한 기계적 안정성을 확보할 수 있다.",10-2016-0146381,"경희대학교 산학협력단,전자부품연구원","H05K-003/32,H05K-003/34,H05K-003/36"
0,20160406,웨어러블 밴드,"본 발명은 신축성 및 내구성이 우수한 웨어러블 밴드에 대한 발명으로, 에너지 모듈, 신호처리모듈 및 센서모듈을 포함하는 웨어러블 밴드에 있어서, 상기 에너지 모듈, 신호처리모듈 및 센서모듈 각각에는 상호 전기적 연결을 위해 일측 또는 양측 말단에단자가 형성되고, 상기 에너지 모듈, 신호처리모듈 및 센서모듈의 상호 인접하는 단자는 전도사에 의해 연결되고, 상기 단자와 상기 전도사는 핫멜트 필름에 의해 결합되는 것을 특징으로 하는 웨어러블 밴드를 제공한다.",10-2015-0187369,한국생산기술연구원,"A44C-005/00,A44C-005/02"
0,20170508,웨어러블 장치,"본 발명은 웨어러블 장치에 관한 것으로, 보다 구체적으로 사용자의 신체 일부에 착용되며, 사용자에게 촉각 정보를 제공하는 웨어러블 장치에 관한 것이다.웨어러블 장치는 정보를 제공하는 스마트 코어가 탈착 또는 부착 가능한 코어 결합부, 상기 코어 결합부와 연결되며, 사용자에게 촉각 정보를 제공하는 촉각 모듈부 및 상기 촉각 모듈부 일측에 구비되며, 상기 사용자의 신체 일부에 체결 가능하도록 구비된 체결부를 포함한다.이와 같은 구성으로, 사용자가 대화 중이거나 시선을 돌리기 힘든 경우에도 목적지까지의 남은 거리, 방향전환 시점, 주차된 차량 또는 실·내외 매장/제품까지의 길 안내 정보 등 네비게이션 기능을 수행할 수 있다.",10-2015-0071970,주식회사 씨케이머티리얼즈랩,"G06F-003/01,G06F-001/16"
0,20160406,웨어러블 밴드,"본 발명은 피부와의 밀착력을 향상시키고 우수한 신축성 및 편안한 착용감을 가지는 웨어러블 밴드로, 편성물 조직으로 피케조직 영역 및 리브조직 영역이 구분되어 형성되는 것을 특징으로 한다.",10-2015-0058946,한국생산기술연구원,A44C-005/00
0,20160523,웨어러블 마우스,본 발명은 본체 하우징; 상기 본체 하우징의 하면에 장착된 광센서;상기 본체 하우징에 결합하고 상부 방향으로 휘어진 곡면을 갖는 링; 상기 링과 상기 본체 하우징에 의해 둘러싸여 형성된 착용홀; 상기 링에서 상기 착용홀의 관통 방향을 향하는 제1 적외선 센서; 상기 제1 적외선 센서와 이격된 위치에 배치되며 상기 링에서 착용홀의 관통 방향을 향하는 제2 적외선 센서; 상기 광센서 상기 제1 적외선 센서 및 상기 제2 적외선 센서를 제어하고 상기 각 센서가 감지한 정보를 전달받아 신호를 생성하는 메인기판; 및 상기 정보를 외부 장치로 송신하는 무선통신부를 포함하는 웨어러블 마우스는 웨어러블 마우스를 사용자의 손목에 끼워 사용하여 손쉽게 휴대가 가능하다.,10-2014-0169839,엘지전자 주식회사,"G06F-003/0354,G06F-003/01"
