,issueDate,patentTitle,abstract,patentNumber,applicants,ipcInfo
0,20080115,인공지능 등주 감지기,"본 발명은 터널이나 도로에 설치되는 등주의 램프가 고장을 일으키거나 하여 저전류가 감지되거나, 과전류가 공급되거나 또는 누전이 발생하는 등의 이상상태가 발생하였을 때 이에 따라 램프의 안정기로 공급되는 전원의 공급을 차단하였다가 다시 정상상태로 환원되면 자동으로 복구시키도록 하고 정상동작을 비롯한 이상상태의 종류에 따라 발광 다이오드를 통해 표시하도록 한 인공지능 등주 감지기에 관한 것이다. 상기의 본 발명은, 외부로부터 공급되는 AC220V의 전원을 안정기를 통해 램프에 공급되도록 하거나 내부의 동작 전원으로 공급하는 전원공급부와, 상기의 전원공급부를 통하여 입력되는 전원에 대해 2개의 변류기를 통하여 과전류, 램프의 고장 및 누전의 여부를 검출하는 신호처리부와, 상기 신호처리부의 검출결과에 의하여 판단되는 과전류, 램프의 고장 또는 누전 등의 상태와 정상으로의 환원 여부를 판단하여 안정기를 통하여 램프로 전원을 공급 또는 차단하거나 내부의 동작을 제어하는 마이크로 프로세서와, 상기 마이크로 프로세서의 제어를 받으면서 정상상태, 과전류, 램프의 고장 또는 누전에 의한 고장의 여부를 발광다이오드를 통해 알려주는 발광 다이오드 디스플레이부들로 구성함을 특징으로 한다.",10-2005-0001975,장석연,H05B-041/285
0,20200417,인공지능 디지털 사이니지,인공지능 디지털 사이니지 기술이 개시된다.일 실시예에 따른 디지털 사이니지 시스템은 전광판에 콘텐츠가 출력되는 동안에 제공되는 코드 정보가 전자 기기를 이용하여 스캔됨을 수신하는 단계; 상기 수신된 코드 정보를 식별함에 따라 접속된 인스턴스 메시지 서비스를 통하여 상기 콘텐츠와 관련된 적어도 하나 이상의 인터랙션을 수행하기 위한 챗봇을 연결하는 단계; 및 상기 연결된 챗봇을 통하여 상기 콘텐츠와 관련된 적어도 하나 이상의 인터랙션을 수행하기 위한 인터랙션 정보를 상기 전자 기기에 제공하는 단계를 포함할 수 있다.,10-2019-0152847,(주)코리아 싸인,G06Q-030/02
0,20190611,인공지능 플러그,"본 발명의 일 실시예에 따른 인공지능 플러그는, 상기 인공지능 플러그에 연결된 전자기기의 전력 사용량을 계측하는 계측부; 상기 인공지능 플러그의 발열 온도를 측정하는 온도 센서; 설정된 각 전력 사용량 구간에 대응되는 정상 온도 구간, 비정상 온도 구간 및 과열 차단 온도 구간에 관한 정보를 포함하는 학습 데이터를 구비하며, 상기 학습 데이터, 및 계측된 상기 전력 사용량 대비 측정된 상기 발열 온도로부터 상기 인공지능 플러그의 비정상 및 과열 상태를 예측하는 판단부; 및 상기 판단부에서의 예측 결과에 따라 경고 메시지를 출력하거나 상기 인공지능 플러그의 동작을 제어하는 동작 제어부를 포함한다.",10-2018-0062944,이지세이버 주식회사,"H01R-013/66,G01K-001/02,G01R-022/10,G01R-031/04,G08B-003/10,H01R-013/10,H01R-013/713,H01R-103/00"
0,20120509,인공지능 차량번호인식시스템,"본 발명은 아파트/회사 등과 같은 특정 공동체의 입주민/직원 주차장 또는 마트/영화관/관공서 등과 같은 불특정 공동체의 대고객/대민원 주차장에 마련되어, 출/입하는 차량의 번호를 인식하는 차량번호인식장치 및 그 방법에 관한 것으로, 더욱 상세하게는 주/ 야간과 태양광 위치 변화와 급작스러운 환경 변화 등에 무관하게 에러 없이 사용할 수 있는 전용의 차량번호 인식을 위한 카메라와, 태양광 위치 변화로부터 자연현상인 역광/ 측광/ 반사광 등을 감지할 수 있는 태양/조명위치판별센서부를 마련하여, 움직이는 태양/자동차의 헤드라이트/전관조명의 갑작스러운 환경변화(구름, 비, 안개) 등으로 인해 차량번호 인식률이 저하되는 것을 방지하면서 촬영 인식이 가능하도록 하는 차량번호인식장치 및 그 방법에 관한 것이다.",10-2011-0117478,"아이티에스엔지니어링 주식회사,김정구","G08G-001/04,G08G-001/017"
0,20200909,인공지능 리클라이너 쇼파,"등받이, 머리받이, 안착부 및 다리받침부의 각도가 조절되는 쇼파 본체부와, 상기 쇼파 본체부의 각 각도를 제어하는 쇼파 제어부를 포함하는 리클라이너 쇼파에 있어서, 본 발명에 따른 인공지능 리클라이너 쇼파는 주변의 사운드를 수집하는 마이크로폰; 주변기기로부터 오디오 출력신호을 수집하는 오디오 신호 수집부; 상기 마이크로폰으로부터 수집된 사운드 신호로부터 상기 오디오 신호 수집부로부터 수집된 오디오 출력신호를 상쇄시켜 음성 추정 신호를 출력하는 음성인식부; 및 상기 음성 추정 신호로부터 사람의 육성에 의한 음성신호를 인식하고, 인식된 음성신호로부터 제어명령을 식별하여 상기 쇼파 제어부에 전달하는 제어명령 식별부;를 포함한다.  본 발명에 따르면 음성인식에 의하여 쇼파의 각도 등을 조절하는 과정에서 주변기기 등의 오디오 출력신호를 수집하여 이를 미리 제거함으로써 주변의 잡음에도 불구하고 정확도를 향상시킬 수 있다.",10-2020-0110299,강수환,"A47C-007/72,A47C-001/032,A47C-031/00,G10L-015/22"
0,20200914,인공지능 조리 기기,"인공지능 조리기기가 개시된다. 본 발명의 실시 예에 따른 인공지능 조리기기는, 하나 이상의 식재료를 촬영하고 상기 하나 이상의 식재료의 거리를 감지하는 센싱부, 및, 상기 하나 이상의 식재료를 촬영한 영상 및 상기 거리를 인공지능 모델에 제공함으로써 상기 하나 이상의 식재료의 무게를 획득하고, 상기 하나 이상의 식재료의 종류 및 상기 하나 이상의 식재료의 무게에 기초하여 설정된 조리 코스로 조리를 수행하는 프로세서를 포함하고, 상기 인공지능 모델은, 식재료를 촬영한 영상 및 영상이 촬영된 거리를 포함하는 훈련용 데이터와, 식재료의 무게를 포함하는 레이블링 데이터를 이용하여 트레이닝 된 뉴럴 네트워크이다.",10-2019-0098468,엘지전자 주식회사,"A47J-036/32,G06N-003/08"
0,20200123,인공지능 기반의 구조물 건전성 관리 시스템,"본 발명은 인공지능 기반의 구조물 건전성 관리 시스템에 관한 것으로서 구조물에 부착되고 센서 네트워크를 통해 측정된 센서 데이터를 전송하는 하나 이상의 센서; 수신된 센서 데이터를 저장하고, 학습에 필요한 센서데이터를 인공지능 트레이닝 모듈로 전달하며, 인공지능 예측 모듈로부터 수신한 센서 데이터 분석결과를 저장하는 데이터베이스 모듈; 데이터베이스 모듈로부터 전달받은 센서 데이터를 이용하여 학습을 수행하고 학습이 완료된 인공지능 모델을 인공지능 예측 모듈로 전달하는 인공지능 트레이닝 모듈; 상기 학습이 완료된 인공지능 모델을 탑재하고 데이터베이스 모듈로부터 센서 데이터를 입력받아 구조물의 상태를 실시간 분석하는 인공지능 예측 모듈;을 포함한다. 본 발명에 따르면 대형 구조물에 부착되는 하나 이상의 센서에서 발생하는 시계열 데이터를 입력받아 인공지능 모델을 통하여 분석함으로서 보다 효과적이고 효율적으로 대형 구조물의 건전성을 진단하고 예측하여 관리할 수 있다.",10-2018-0139887,주식회사 뉴로다임,"G01M-005/00,G01P-015/00,G06N-003/08"
0,20190902,인공지능 의류관리기,"본 발명은 의류를 수용하고 수용된 의류를 처리하는 가전기기로서 인공지능이 구현된 가전기기에 관한 것이며, 보다 구체적으로는 의류를 걸어 놓고 처리하는 인공지능 의류관리기에 관한 것이다.  선행특허(대한민국 특허출원 번호 10-2018-0106196)에서는 비전 기반으로 특정 의류와 의류 처리 정보를 학습에 의해서 판단하여 최적의 의류 처리 정보를 추천하여 수행하도록, 인공지능 기술이 적용된 의류관리기가 개시된 바 있다.  본 발명의 일실시예에 따르면, 무게 센서를 탑재함으로써 의류의 개별 상태를 보다 구체적으로 파악하여, 이에 따른 최적의 의류 처리의 강도/세기나 시간을 판단하여 최적화된 의류 처리 정보를 자동으로 제공하는 인공기술이 적용된 의류관리기가 제공될 수 있다.  본 발명의 일실시예에 따르면, 보다 구체적으로, 의류 수용부 내부에 거치되는 의류의 무게를 센싱하는 무게 센서; 사용자로부터 의류 처리에 대한 코스를 입력받도록 구비되는 사용자 인터페이스; 그리고 상기 무게 센서를 통해 감지된 의류의 무게 정보를 반영하여 부가 처리 정보를 세팅하고, 상기 부가 처리 정보와 메인 처리 정보를 기반으로 의류를 처리하도록 제어하는 메인 프로세서를 포함하는 의류관리기가 제공될 수 있다.",10-2018-0125287,엘지전자 주식회사,"D06F-058/28,D06F-058/10,G06N-099/00"
0,20190710,인공지능 의류관리기,"본 발명은 의류를 수용하고 수용된 의류를 처리하는 가전기기로서 인공지능이 구현된 가전기기에 관한 것이며, 보다 구체적으로는 의류를 걸어 놓고 처리하는 인공지능 의류관리기에 관한 것이다.  선행특허(대한민국 특허출원 번호 10-2018-0106196)에서는 비전 기반으로 특정 의류와 의류 처리 정보를 학습에 의해서 판단하여 최적의 의류 처리 정보를 추천하여 수행하도록, 인공지능 기술이 적용된 의류관리기가 개시된 바 있다.  본 발명의 일실시예에 따르면, 미세먼지 센서를 탑재함으로써 의류의 개별 상태를 보다 구체적으로 파악하여, 이에 따른 최적의 의류 처리의 강도/세기나 시간을 판단하여 최적화된 의류 처리 정보를 자동으로 제공하는 인공기술이 적용된 의류관리기가 제공될 수 있다.  본 발명의 일실시예에 따르면, 보다 구체적으로, 의류 수용부 내부의 미세 먼지를 감지하는 미세먼지 센서; 사용자로부터 의류 처리에 대한 코스를 입력받도록 구비되는 사용자 인터페이스; 그리고 상기 미세먼지 센서를 통해 감지된 미세먼지 정보를 반영하여 기본 조건에서 변경된 조건으로 세팅되는 코스 정보를 기반으로 의류를 처리하도록 제어하는 메인 프로세서를 포함하는 의류관리기가 제공될 수 있다.",10-2018-0125286,엘지전자 주식회사,"D06F-058/28,D06F-058/10,G06N-099/00"
0,20191008,인공지능 뮤직박스 운용 시스템,"본 발명은 인공지능 뮤직박스 운용 시스템에 관한 것으로, 본 발명에 따르면 사용자가 별도의 선곡 작업을 진행하지 않더라도 사용자 취향에 맞는 음악을 언제 어디서든지 편리하게 감상할 수 있고, 사용자들 간 음원 공유 기능을 통해 음악적 경험을 공유할 수 있으며, 공유된 사용자들 간 음원을 선물하여 친밀도를 높여줄 수가 있다.",10-2018-0063519,(주)오렌지디지트코리아,"G11B-031/02,G10H-001/36,G11B-020/10"
