,issueDate,patentTitle,abstract,patentNumber,applicants,ipcInfo
0,20200310,클라우드 검증 및 테스트 자동화,"다양한 통신 시스템들은 개선된 클라우드 검증 플랫폼으로부터 이득을 얻을 수 있다.예컨대, 자동화되고 시스템적인 방식으로 클라우드 애플리케이션을 대신하여 기저 클라우드 인프라구조를 테스팅 및 검증할 수 있는 클라우드 검증 플랫폼이 도움이 될 수 있다.방법은, 클라우드 인프라구조를 테스팅하기 위해 클라우드 검증 서비스에 연결하는 단계를 포함할 수 있다.방법은 또한, 클라우드 인프라구조 상에서의 가상 네트워크 기능의 실행을 트리거링하는 단계를 포함할 수 있다.부가적으로, 방법은, 클라우드 검증 서비스를 사용하여, 실행된 가상 네트워크 기능으로 클라우드 인프라구조의 키 속성을 테스팅하는 단계를 포함할 수 있다.추가로, 방법은 가상 네트워크 기능 또는 클라우드 인프라구조의 키 속성의 메트릭을 사용자 장비에 전송하는 단계를 포함할 수 있다.",10-2018-7027561,노키아 솔루션스 앤드 네트웍스 오와이,"H04L-012/26,H04L-012/24"
0,20140925,클라우드 컴퓨터,"본 발명은 소정 배열을 가지고 표면에 입력내용이 표시된 다수의 키톱부가 배치되며 내부에 상기 키톱부의 구동에 따른 데이터를 입력받아 송출하도록 된 제어기판을 구비하는 키보드 몸체에 클라우드 단말기 본체가 탈부착하도록 구성되어 운반 및 보관이 용이하고, 특히 분실의 우려가 없도록,  각종 프로그램 및 데이터를 네트워크로 연결된 서버로부터 받아서 작업을 수행하도록 된 클라우드 컴퓨터(1)에 있어서; 내부에 CPUㆍ메모리 등과 같은 하드웨어장치가 탑재되며, 외주면에 키보드, 마우스, 스피커, 마이크, 랜선, USB, 전원 등의 주변기기들이 접속되어 전기적으로 연결되는 접속단자(2)들이 구비된 클라우드 단말기 본체(3)와; 소정 배열을 가지면서 표면에 입력내용이 표시된 다수의 키톱부(4)가 배치되고 내부에 상기 키톱부(4)의 구동에 따른 데이터를 입력받아 송출하도록 된 제어기판(C)을 구비하며, 일측 부위에 상기 클라우드 단말기 본체(3)가 수용되는 수용홈(5)을 구비하는 키보드 몸체(6)를 포함하여 이루어지되;  상기 수용홈(5)에는 상기 클라우드 단말기 본체(3)의 외주면에 구비된 키보드 접속단자(7)와 끼워 맞춤결합되어 전기적으로 연결되도록 하는 접속핀(8)이 구비된 클라우드 컴퓨터를 제공한다.",10-2013-0090760,"송병근,전유진","G06F-001/16,G06F-003/02"
0,20120424,클라우드 컴퓨팅을 기반으로 하는 듀얼 백업 시스템,"본 발명의 특징에 따르면, 본 발명은 클라우드 컴퓨팅을 기반으로 하는 듀얼 백업 시스템에 있어서, 로컬PC 운영체제의 시스템데이터가 저장되고 운영체제에 의해 관리되는 시스템영역과, 사용자가 데이터를 저장하는 사용자영역 및 상기 시스템데이터가 백업되며 운영체제와 사용자가 접근하지 못하는 로컬 히든영역을 포함하는 로컬PC 스토리지; 상기 시스템데이터를 로컬 히든영역으로 제1백업시키고, 상기 로컬 히든영역에 백업된 백업데이터를 로컬PC 맥(MAC)주소에 해당하는 클라우드 히든영역으로 제2백업시키는 백업모듈; 상기 로컬 히든영역에 제1백업된 백업데이터로 부팅시키며, 네트워크를 통해 원격 클라우드 스토리지와 연결시키는 부팅모듈; 상기 로컬PC 스토리지와 네트워크를 통해 연결되고, 로컬PC 맥(MAC)주소가 저장되는 주소영역 및 상기 로컬PC 맥주소마다 할당되며 상기 로컬 히든영역에 제1백업된 백업데이터가 제2백업되는 클라우드 히든영역을 포함하는 원격 클라우드 스토리지; 및 상기 부팅모듈에 의해 로컬PC가 부팅되면, 로컬 히든영역에 제1백업된 백업데이터를 시스템영역으로 제1복원시키거나, 상기 제1복원이 진행되지 않으면, 부팅모듈에 의해 연결되는 상기 원격 클라우드 스토리지에서 로컬PC의 맥주소에 해당하는 클라우드 히든영역에 백업된 백업데이터를 상기 시스템영역으로 제2복원시키는 복원모듈; 을 포함한다.",10-2011-0124925,"엑스투씨앤씨(주),문종범,이철규,유왕진","G06F-015/16,G06F-012/16"
0,20200914,클라우드 모니터링을 기반으로 한 부하 분산 최적화 방법 및 장치,"본 출원은 클라우드 모니터링을 기반으로 한 부하 분산 최적화 방법 및 장치를 공개했고, 부하 분산 기술 분야에 관한 것이고, 부하 분산 인스턴스의 메인/스탠바이 유효 영역의 스위칭 효율을 제고시킬 수 있으며, 부하 분산 설비의 우선순위를 지능적으로 스위칭하는 것을 실현할 수 있다. 상기 방법은 부하 분산 시스템이 제어하는 인트라 도메인의 트래픽 분포 통계 결과를 획득하는 단계; 상기 부하 분산 시스템 중 유효 영역 내의 후단 서버 통계 결과와 유효 영역의 네트워크 모니터링 품질을 획득하는 단계; 상기 트래픽 분포 통계 결과, 상기 후단 서버 통계 결과 및 상기 네트워크 모니터링 품질에 의거하여, 부하 분산 인스턴스에 대응하는 메인 유효 영역에 적합한 유효 영역을 확정하는 단계; 확정 결과에 따라 상기 부하 분산 인스턴스의 메인 유효 영역을 스위칭하는 단계를 포함한다. 본 출원은 부하 분산에 적용하는데 가장 우수하다.",10-2018-7035327,핑 안 테크놀로지 (썬전) 컴퍼니 리미티드,"H04L-012/803,H04L-012/851,H04L-029/08,H04N-007/18"
0,20200702,클라우드 프린팅 시스템,"전술한 바와 같은 과제를 실현하기 위한 본개시의 일 실시예에 따라 클라우드 프린팅 서비스를 제공하는 서버가 개시된다. 인코딩된 명령들을 포함하는 컴퓨터 판독 가능 저장 매체에 저장된 컴퓨터 프로그램으로서, 상기 컴퓨터 프로그램은 컴퓨팅 장치의 하나 이상의 프로세서들에 의해 실행되는 경우, 상기 하나 이상의 프로세서들로 하여금 컴퓨팅 장치에서 클라우드 프린팅 서비스를 제공하기 위한 이하의 동작들을 수행하도록 하며, 상기 동작들은: 사용자 단말로부터 프린트 요청 정보-상기 프린트 요청 정보는, 프린트 대상 파일 및 프린트 옵션 정보 중 적어도 하나를 포함함-를 수신하는 동작; 프린트 � 정보-상기 프린트 � 정보는 프린터 기본 정보 및 프린트 가능 옵션 정보를 포함함-에 기초하여 상기 프린트 요청 정보의 변환 여부를 결정하는 동작; 상기 프린트 요청 정보의 변환이 결정된 경우, 상기 프린트 요청 정보를 프린트 � 정보에 기초하여 변환하여 변환된 프린트 요청 정보를 생성하는 동작; 및 상기 변환된 프린트 요청 정보를 관리자 단말에 전송할 것을 결정하는 동작;을 포함할 수 있다.",10-2018-0076592,린앤컴퍼니(주),G06F-003/12
0,20191129,클라우드 서비스 시스템,"클라우드 서비스 시스템이 개시된다. 본 발명의 일 실시 예에 따른 클라우드 서비스 시스템은, 개발자를 위한 클라우드인 오버레이 클라우드의 관제를 총괄하는 오버레이 클라우드 관리부, 오버레이 클라우드가 구성되는 인프라를 제공하는 클라우드 사업자 및 상기 오버레이 클라우드 관리부와 클라우드 사업자를 물리적으로 직접 연결하는 직접 연결점을 포함한다.",10-2017-0165889,광주과학기술원,"G06F-015/16,G06F-011/30"
0,20180201,클라우드 플랫폼 시스템,"본 발명은 멀티/하이브리드 클라우드의 인프라를 자동 구성하여 어플리케이션에 제공하고 관리를 위한 구성 정보를 동기화하는 클라우드 통합부(Cloud Integration); 상기 어플리케이션의 클러스터를 관리하는 논리적 그룹으로 상기 클라우드의 계정과 사용자, 네트워크 자원을 할당 및 관리하는 서비스 관리부(Service Management); 상기 어플리케이션을 컨테이너 이미지 기반으로 배포하고, 상기 어플리케이션 배포 시 상기 클라우드의 인프라를 자동 프로비져닝하며, 상기 어플리케이션을 복제하되 복제된 어플리케이션은 로드밸런싱을 통해 서비스되는 한편 상기 어플리케이션의 서비스 중단 없이 배포, 인프라 변경 등의 업데이트 작업을 수행하고, 여러 어플리케이션 간 의존성이 있을 경우 자동화를 구성하는 롤링 업데이트를 수행하며, 상기 어플리케이션의 모니터링을 통해 인스턴스의 스케일링을 인(In)/아웃(Out)하며, 상기 어플리케이션의 인프라의 경우 자원 용량의 스케일을 업(Up)/다운(Down)하고 모니터링 정보를 통해 스케일링 자동화를 구성하는 어플리케이션 오케스트레이션부(Orchestration); 및 상기 서비스의 현황, 클러스터 맵, 모니터링, 리소스 관리, 미터링, 작업 관리, 및 전사 현황 관리/분석 기능을 위한 개발/운영부(DevOps View)를 포함하는 클라우드 플랫폼 시스템을 제공한다.  본 발명에 의한 클라우드 플랫폼 시스템은 어플리케이션 서비스의 가용성과 확장성을 보장하고, 멀티/하이브리드 클라우드 통합 관리가 가능하며, 개발과 운영의 효율화가 가능한 엔터프라이즈 클라우드 구축·운영·관리가 가능한 장점을 갖는다.",10-2017-0056478,"나무기술 주식회사,아콘소프트 주식회사",H04L-029/08
0,20180312,클라우드 기반 지불 시스템,"본 발명은, 기존에 모바일카드가 탑재된 SE 장치에서 수행하던 결제 과정을, 모바일카드에 관한 정보를 클라우드 서버에 저장한 후 SE 장치의 도움 없이 모바일 기기의 중계를 통해 결제하는 과정으로 대체하는 기술에 관한 것이다.",10-2015-0184201,주식회사 한국스마트카드,"G06Q-020/16,G06Q-020/32,G06Q-020/38,G06Q-020/40,H04W-004/12"
0,20190801,클라우드-에지 토폴로지,본 설명은 클라우드-에지 토폴로지에 관한 것이다. 몇몇 양태는 다양한 클라우드-에지 토폴로지에서의 클라우드-에지 애플리케이션 및 자원 사용량에 관한 것이다. 본 클라우드-에지 토폴로지의 다른 양태는 시간적 언어를 사용한 클라우드-에지 애플리케이션의 명세에 관한 것일 수 있다. 추가적인 양태는 질의 부분을 실행시키기 위해 클라우드 엔진에서의 데이터 스트림 관리 시스템(DSMS)들과 클라우드-에지 컴퓨터들을 실행시키는 아키텍처를 포함할 수 있다.,10-2014-7017675,"마이크로소프트 테크놀로지 라이센싱, 엘엘씨","G06F-015/16,G06F-009/06"
0,20200602,클라우드 콘텐츠 인식 기법,"클라우드 콘텐츠를 인식하는 기법들이 본 명세서에서 기술된다.서비스에 대응하는 클라우드 콘텐츠를 위한 지정된 저장 위치가 장치에 로컬로 등록된다.등록된 저장 위치와 관련되어 저장된 파일들이 해당 서비스의 클라우드 콘텐츠로서 인식될 수 있다.인식된 클라우드 콘텐츠는 사용자 경험에 맞추어 클라우드 콘텐츠와의 상호동작을 맞추도록 다양한 방식으로 처리될 수 있다.예를 들어, 아이콘들이나 기타 시각적 식별자들이 장치, 운영체제 및/또는 애플리케이션의 사용자 인터페이스들 안에서, 클라우드 콘텐츠로서의 파일 인식에 기반하여 특정 서비스와 파일들의 관련성을 나타내는데 사용될 수 있다.또한 장치에 등록된 저장 위치는 서로 다른 장치들 간의 파일 활동 리스트들을 로밍하는데 사용될 수 있는 파일들에 대한 상대적 경로들을 획득하는데 이용될 수 있다.",10-2019-7028823,"마이크로소프트 테크놀로지 라이센싱, 엘엘씨","G06F-016/176,G06F-016/178,G06F-016/901,H04L-029/08"
