,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,나머지,모드,모드_전환,숫자,목표,권한_부여,멀티,제시어,놀이,성공,놀이_학습,도달,패스워드,냉난,방기,가압,조건_만족,엑세스,반영,타이머
1,가상_오브젝트,프로그램,명령,출입_통제,웹_페이지,관광,관광지,파손,하위,화재,감지기_화재,선박,감지기,리소스,프로세스,요지,구독자,인_스턴스,생체,회로
2,컴퓨팅,서브,하향_링크,이하,기준치,매핑,니지,디지털_사이,노드,클라우드_컴퓨팅,문제점,랜덤_액세스,형태,보드,컨텐츠,자식,선정,메인,문제점_개선,프리_앰
3,검색,자원_할당,마련,정의,오염_지하수,제안,간섭,지하,기본,조치,모드,잠금장치,여부_결정,개의,임의,캐스팅,피해_최소,시멘,방문,해결
4,분야_신뢰,경쟁력_향상,내지_연관,이_유사,식별자,분야,리스트,다운로드,량,성공,관리자,공유기,공중화장실,순환,완화,메모리,조작,사용량,비용_절감,사상
5,품질_향상,성공,다운링크_패킷,스케줄링,충돌,다운링크,기술,고려,실현,단말,기지국,기법,방안_제안,개시,업_링크,서비스,회피,시점,충돌_해결,개선
6,명령,송부,검색,활성,전,전력량,배터리,텍스트,목록,가상,칩,모드,조명_스위치,레,릴레이_스위치,고유,광대_역,가정,냉난방,콘센트
7,행동,개로,일치_여부,장시간,한정,가동,확신,시간_동안,선체,보트,조립식,메타_모델,탐지기,군집,광역,조립,탈피,중부,여량,퓨전
8,공격,야기,완전,아키텍처,방안_제안,도출,악의,가지,명칭,지연_시간,세션,인_스턴스,계층,스키마,일치,일괄,군,탐지,이벤트_발생,글
9,분산,토대,가상,지도,업데이트,관정_실시간,관정,형태,소프트웨어,정화,오픈,노드,트래픽,리소스,타입,삭제,오염_토양,모델링,협업,오버헤드
10,비용_절감,화장실,산재,식별자,능동,빅_데이터,비상,제한,이동_경로,멀티,품질,곳,수명_연장,소요,장점,종단,시간_단축,처리장,대부분,도모
11,파일,최초,인원,유인,줄,변동,아크,행체,완료,사고_미연,대상_상체,트렌드,시공,정기,특화,인자,현황,자율_점검,유_니트,가상_큐
12,주차장,주차,전용,핸드_오버,방안_실현,주,차면,원본,입,간섭,고려,현황,프로,품질_향상,기록_매체,차이,도달,재생,리스트,위젯
13,여부_결정,손실,명령,스페셜_서브,명,배,송수신기,멀티탭,플러그,스위처,식별자,콘센트,소비자,반대,어드레스,난수,충돌,속성,대상물,분할
14,수배_전반,미들웨어,그,노드,등록부,룰,블록_체인,실내_공기,시나리오,라우터_접속,하드웨어,여부_결정,프로그램,필요시,기간,유관_기관,어용,반,지수,무선망
15,방법,수신,서버,장치,사물_인터넷,제어,이용,데이터,전송,사용,정보,통신,제공,기반,관리,디바이스,개시,단계,서비스,생성
16,리소스,검색,실시_예,발행,보유,고유,속성,토큰,지식,일반,에지,시설물,사항,그,수록,컴퓨터,이름,프로그램,활성,개수
17,공정,제조,비밀_키,엣지_클라우드,임시,기술_접목,이송,공개_값,기체,기술_인공지능,발달,차_산업,빅_데이터,제품,기체_상부,위생,배출_배,반경,로봇,해_값
18,기록_매체,일_측면,종류,단자,신체_해부,캐릭터,프로그램_기록,모드,부하,컴퓨터_판독,소비_전력,컴퓨터,차트,식별자,시점,배터리,위,체크,인간,구역
19,식물_재배,식물_재배기,식물,호스팅,품종,재배,조닝,인_스턴스,배양액,생육,데이터베이스_저장,구간,캡슐,광원,재배_공간,레지_셜,블,파라미터,프리_앰,메커니즘
