,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,동기,플레이,체크,상체,이전,공유,적외선,카드,음향,채널,애니메이션,충돌_체크,반응,외관상,엘이디,휴대_단말기,판독,적외선_마커,간_충돌,에이전트
1,수술,마스터,소스,흥미,수술_도구,슬레이브_로봇,마스터_봇,수술자,내시경,결과물,통신부,가지,슬레이브,한계,프로세서,실력,연습장,로봇_암,암,부피
2,모드,플레이어,플레이어_다트,다트_게임,뷰,감지_센싱,통신부,대전_모드,게임_대전,핀_히트,투사_다트,그,제외,블,컨트롤러,매체,교정,동안,자체,션
3,명세서,직접,실패,전개,굴절,멀티,보드,반영,참가자,보조,역동,요동,단일,바닥,받침_플레이트,승기,만족도,상부_플레이트,유압_실린더,판
4,회전_각도,정지,흥미,범위_내,지물,얼굴,포장,임계_값,컴퓨터_판독,완화,집중,아케이드,우안,좌안,해소,케이스,매체,스마트폰,겸용,유닛
5,간_차이,실현,보조,응시,건설,적외선,응용,도면,근육,화각,공급,모션_시뮬레이터,원근감_부여,간헐,특징_점,예측,최대,코더,시그널,오버랩
6,도로,안구,주행,교통,도의,출입,탑승_구체,받침대,검증,딩,현신,검사,안착,편집,바탕,전통,안_검사,과검,스테이지,모
7,주제,티칭,전반,예약,판매,싱크,제품,화부,생부,과제,수직,해결_기술,원본,소정_간격,의견,식복,웨딩,화보,모션_시뮬레이터,계정
8,캡쳐,촉각,계산,감각,제시,피드백,편집,여부_판단,스토리,지정,터치,햅틱,바탕,특징_점,삽입,부가,실,구조,분산,헤드_장착
9,자율_주행,봇,드론,혼합,확보,배터리,회원_가입,지식,상측,클립,전력,운전,면,교정,메뉴,아이템,녹화,협력,주행,피로
10,메뉴,레벨,문제점_해결,집중,제시,반영,타입,자료,동안,여부_확인,표출,실재,참조,난이도,웹_페이지,항목,보물,시현,생체,바닥
11,시예,발명_일실,의도,감정,생체,심리,여기,유저,두부,컴퓨팅_디바이스,공유,가이드,도움,상담,상공_간,하나_초과,양상,치료,피드백,링크
12,시퀀스,정렬,커뮤니티,상환,경상,사진,권한,융,작업자,팩,집합,유용,불연속,지정,논리,시선_방향,테마파크,부품,운동부,치료
13,초점,일_측면,이족,지각,관성력,부로,분사,가변_초점,메뉴_내비게이션,편안,압력,미니어처,안구,진단,자료,내용,반영,차선,강도,교량
14,과제,해결_기술,치매,연관,용도,청구_범위,거리_유지,접안_플레이트,기재,이격_상태,해결,장애,처리장,핸드폰,몸체,가변,반력,부재,신체,노인
15,동영상,요구,크롭,프레임_조각,피사체,나머지,인터랙티브,개수,바닥,효과_극대,사실감,버츄얼,교육_의도,사실,실습,입체감,추론,내용,부합,이점
16,이질감,반영,말,장애물,구조,어지럼증,활동,피검자,가이드,최신,트,건강,신체,두부,다자,매물,관람객,삽입,피드백,제트
17,광,피팅,텔레비전,소셜_네트워크,예술품,흥미_유발,구역,악기,건축물,환자,교류,대표,광경_조절,안경테,반사,신체,거래,컨트롤러,코,프로세서
18,생성,정보,영상,개시,장치,이용,단계,방법,위치,표시,시스템,디스플레이,기반,현실,가상현실,수신,공간,제어,대응,부
19,참관자,인물,기울기,수업,교사,하량,부하,양태,애니메이션,영화,동기,지능화,슈트,말,테이블,수동_조작,컨트롤러,미술_활동,실차,저면
20,확대,관람,체부,이종,관람자,활동,동영상,그램,명령어,축소,업체,매체,모형,스마트폰,테두리,박람회,자동차,트,영화,바닥
21,운동_현기,탑승자,실린더,로드_유압,모델링_오차,하부,적응,제어기,성능_향상,매개_변수,외란,성능_지수,주파_수역,고조,재현,걸음,데_이타,수직,일정,성능_유지
22,주행,다양,시공,운전,지상,일실_시예,페달,코스,차,부가,경운기,경운기_모의,관성,자전거,운동_기구,자이로_센서,콘솔,임계,오_차,절대
23,하부,축,회동,판,단부,전후,상부,체감,의자,변위,경사_조절,쌍,구조,상면,유닛,롤러,승강,지지,경사도,조인트
24,처,애플리케이션,그래픽,카운트,모드,일_양상,제시,애니메이션,최대한,특징_점,기간,플레이,골프클럽,전문,제어기_피드포워드,외형,함수,캠페인,디텍터,세트
25,말,설명,이용_전시장,반영,판매자,접근,골프,스크린_골프,세트,지형,플랫폼_구축,매핑,프로젝터,명령,문화,무인_동체,프로_젝,조사,연관,활동
26,윈도우,청각,신원,주사,인칭_시점,컨트롤러,배전_설비,초고,예측,웹_브라우저,절연,협조,문제,체,텍스트,플레이어,아이,통과,전위차,통과_구멍
27,피부,여자,경로_안내,엘리먼트,지표,산_출부,등산,등반,측량,재난,동기,생체_신호,암실,후드,심상_훈련,그래픽,뷰,라운드,치매_재활,게이팅
28,조성,서라운드,시간_경과,터치,수직,플레이트,가시선,동안,시선_방향,뷰어_눈,투사_디바이스,벤딩,감상,터닝,차폐,프로젝터,커플링,굴삭기,녹음,내용물
29,룸,렌즈_초점,소화기,사용법,탑_승부,조준,화염,좌우,길이,노즐,소화,박막,오버랩,진압,플랜트,첩,우로,앵글,좌_우측,화재_발생
