,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,측면,출하,모듈,테이블_컬럼,테이블,독,비식,전달,화이트,사생활,업,복수_개,계산부,하드웨어,룩,중앙,침입_탐지,작업장,차량,량
1,투자,최초,리스트,국내,피드,싱하,기회비용,구매력,전향,외국_투자자,유무_선,전극,스타트업,모집단,연락처,존재_경우,크롤링,수동,체험,분산_파일
2,이용한,공부,클라우드,장부,계약,맞춤,규모,협업,버퍼,큐레이션,아이템,세트,결혼,골프,골프장,전기_에너지,리스트,매장,풀,메시지
3,조명,집단,자,차감,지속,다면화,날씨,수명,변화,안내서,만족도,위협,공격,잔여,계산부,포레스트,강인,드론_비행,산_출부,적극
4,오픈_소스,베이스,간,주변,정리,전처_리부,모델링,초기,기계,표기,관계,대피,방재,주관,영향력,전자,제이슨,탐,일상,기업
5,상응,필터,콘,전시,볼루,지리,보호,보안_점검,누적,딩,션,수인,위,설치,꿀벌,검진,유실,에이전트,실재,전시품
6,부합,에너지_사용량,이동_객체,자동,단말기,각종,프로파일,프로_파일,가스,결과물,근거리_무선,신호,클라우드,클러스터,탄소,개방,전력,고유,전문가,돌발
7,부품,작업자,사양,오동작,원천,품질,변경,조작,반환,측정기,판정,하이브리드,현황,전자_문서,오염,해상도,디스플레이,오류,테,형
8,취합,속도,트,쇼핑,근로자_건강,건수,하둡_분산,센터,업무,통계학,기구,위반,기준,둘_이상,횟수,내장,인구,활용,산업,요소
9,우려,역추적,자유,대표,유출,원본,유통,미연,용도,집합,레코드,오인,조합,제한,지칭,자동식,특징,시공간,공기,소비
10,위험_도,검사,업무_평가,불량,병원,분리,신선,할부,지갑,청시,기수,무이자,포장_용기,지출,온도,무선,호스트,집,전부,장기
11,진행,상관도,상담,상관,근거리,수돗물,수질,모듈,상수도,수온,사,케이스,발주,분산_병렬,위크,측량,외,혼합,심리,거래
12,판매,상품,상위,하위,단말기,판매량,기준,추천,중앙_관제,원_격지,순위,등록,문서,디스플레이,공급,시계열_추이,주기,리스트,명칭,변화_모니터링
13,국가,요구,마커,유전,병합,실현,도출,기억,활용,플랫폼,환자,직무,개선,다량,검사,종합_단지,진로_설정,로드맵,합리,도모
14,질병,자기기,귓속,중이염,이어폰_형태,주방,체질,가지,파티,서드,종단,진단,기축,특징,디스플레이,삶,처방전,통증,처리장,건물_에너지
15,조절,온라인,시간,온라인_쇼핑몰,접속,실력,방문,개인,강약,학습_문항,유발,선,특이,발현,쇼핑몰,소요_시간,정답,마사_지기,어린아이,마사지
16,플랫폼,지식,운전자,전달,토대,주행,게이,네비,특징,테스트,발행,일_실시,통계,공급자,업무,목적지,예,사례,라이프,공공_기관
17,스마트,인공지능,맞춤,신청,콘텐츠,의견,모바일_기기,업종,앱,실행,상권,창출,희망,컨설팅,수요자,기기,메모리,업소,서비스_어플리케이션,수요자_의사
18,재난,재난_대응,이용자,기관,유해_화학,다수,주민,물질,안내,확산,가스,상황,도메인,도달,극소,광역화,방재_주변,산업_시설,인재,원유
19,정의,오브젝트_상태,에너지,주변,비중,에너지_소비,도달,의사,공간,참고,요인,디렉,재귀,토리,경로,팩,연관_단어,후보_연관,말기,누적
20,화산,분화,화산재,클라우드,후보,모임,예약,반영,주문,시뮬레이션,염색,염모,미용,가맹,최근,도로기,충족,신용도,확산,시술
21,보조,대비,통제,회전,속도,베이스,화물차,자세,차량_번호,운전,제어기,정리,열림,차량,항목,음식,혼합,렌더링,파급,혁신
22,인지,표현,링크,스마트폰,인간,종목,개인,업종,카테고리,업체,회원_사,업태,밖,맞춤,곳,링커,문자,시리얼,애플리케이션,스팟
23,사이,반경,이송_로봇,배_출부,나,작동,용기,신호,주스,대행,동의,드론,스마트_컵,송신기,기_설정,클램,경로,통화,발열,선호도
