,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,개선,경기,리더,전류,중합체,작동,폴_딩,목표,마커,몸,청정,심미,지문,직접,흐름,타임,칩셋,디바이더,멤,브레인
1,조건,임계,범위_내,무선_통신부,차선,라이프,미연_방지,궤사,멍,경보음,모바일_단말,공유,손상_방지,압력_값,초과,합산,압력,일상_생활,메시지,로봇
2,응원,표시,영상,디스플레이,개시,이용,조치,건식_접착,장치,보안,충족,긴급_상황,옵션,토큰,감소,향상,시도,수동,앱,보호
3,음향_변환,것_발명인,음향,청각_기관,음역,스마트_워치,넥_밴드,색상,각각,보정,밝기,개성,표시_색,재생,소리,기분,부합,평면,집중,디지털
4,애플리케이션,디스플레이_스크린,휴대_단말기,통지,설명,그래픽,영_유아,로직,시스,노인,이벤트,조명,조건_만족,소비,하드웨어,가정,맥파,단일,분산도,속성
5,수치,실내,동승자,응급,다종,운동_종목,사전,조건,위험_상황,검출기,유,조치,피부선,보폭,음파,사고,운동량,운영,합,방위
6,도전_패턴,리본,방성,솔레노이드,통지,자성체,코어,바,유닛,관찰자,신부,안테나,정답,파악,진,가상현실,단위,근거리_통신,송,피
7,선행,박형,바탕,진동자,레퍼런스,동단,일정,대처,안전,대피,렌즈,양의,음의,돌발,문의,클로즈,선형,육체,조종사,족
8,태,신체_일부,오프_딩,잔량,취합,수회,튜브_섬유,군,벽,집합체,도킹,가구,차트,해부,트랜지스터,거,꼬리,재가,사시,시축
9,동시,걸음,통신부,증강현실,출부,암호,처방,음성,혈압,감정,배치도,도상,모니터,심박동,검지,산출,안전,업무,방,콘_텐트
10,이벤트,접착,위험_상황,매체,진동_모터,컴_패니,보호자,일시,소스,카운트,거동,누적,연성,기계_학습,마이크로프로세서,애완_동물,기록,팔_움직임,팔,퀸
11,비게,헤드_유닛,목적지,액션,추론,길_안내,원격,방전,실시,자동차,청각,소리,것_발명인,다리,알고리즘,중간,안경,피스,앤드,음향
12,징,전류,태그,정의,다트,환상,세팅,물리력,불빛,화기,테마파크,게임_플레이어,터치스크린,법선,방범,송수_신부,발광체,설명,폴_딩,금속염
13,제스처_인식,휴대_단말기,텔레비전,볼륨,상영,영화,페이지,데스크톱,운행,대조,레이더,웹,문서,한정,스테레오,공통,중지,컴퓨팅_디바이스,복부,컴퓨터
14,수신함,각각,액세스_모드,통신기,컴퓨팅,스마트_키,타입,근거리_무선,추적_서비스,다이버시티_안테나,답신,서로_임계,둘_모두,컴퓨팅_디바이스,전파,조정,근거리,중개,근접,부여
15,다양,근전,자유,한편,개선,만족,동영상,각도,연산,조절,지속,이외,기상,가상_현실,제고,접근,팔_움직임,순환,신속,대상
16,용품,뎁,사용자,기준점,구분,종속,분배,심_박,투사,유닛,무선_충전,서브,신체_부위,변이,대상,때,주행,스트림,골프_스윙,목뼈_움직임
17,운전,응시,신호등,탐색,주행,화상,성형품,재질,보행,조명기,폴리에스테르,엘라스토머,기타,반사,시료,열가소성,바늘,도보,물,재활_프로그램
18,소모,오프,모뎀,근거리_통신,어플리케이션,여부_확인,대기,무선_전력,원격,상대방,대전,얼굴_검출,증거,로그인,회의,위험_도,퍼스널,스테이션,연장,솔루션
19,외장재,전극_조립,스마트_워치,플렉서블_배터리,수축_이완,저하,롤러,봉지,요구,길_방향,최소,전해액,딩,시계_줄,딩시,체,블,물,내부,확보
20,발열체,커버,제작,향상_효과,온열,상품,용액,자동차,내구_향상,태양_전지,장력,등_다양,케이블,작업,복,발열,시트,생산,조립,손상
21,맥파,열전_소자,신체_부위,냉각,블루투스,메,작업,현장,중심,조난,교체,자가발전,리튬,버그,전력관,연동_프로토콜,멀티_융,해상,거주,병행
22,부,신호,제어,디바이스,연결,착용,중_하나,복수,개시,예,구비,일_실시,동작,장치,센서,입력,방법,사용,통신,영역
23,교번,하이브리드_기판,심전도,저주파,밀봉,주파,상부,몰드,재질,조종,실장,기판,무드,브로드,연결부,동,연장,내부,대칭,여부_확인
24,평면,하부,일면,가공,공_압,치구_가공,흑연_가공물,흑연_성형,시간_단축,곡면_유리,부압,설치_셋,안착,돌출,안착_부가,폭,지그,연결구,흡착,조임
25,구부,바탕,약자,림,너,패스,포집,분비,체액,열전_소자,오지,사회,자석,운전석,착석,적외선,스트랜드,판트,변압,인덕
26,상태_미착용,보안_레벨,상태_전환,모션,송신,무선_통신,제,수집,경우,외부,감지,생성,모듈,체험,어부,무선_통신부,것_특징,통신,수신,데이터
27,보호자,어린이,비상,수신기,실종_방지,활동_량,워치,조향,이동식,휴대_단말기,착도,밀,향상,대처,파악,재생,번호,파생,스테레오,오버
28,튜브,탄소_나노,교대,함유,실리콘,보조,중벽,헬스,압력,기구,통보,도핑,전기_자극,기공,고무,예방,다공성,다중,개인,스케줄
29,측면,전기_연결,삽입,단부,면,작동,연장,내부,홈,구조,변화,고정,나노,노출,밀착,전체,배치,향상,전극,사이
30,노약자,정비_대상,정비,지원,정비_객체,부품_객체,맥박,군용_장비,거동,식부,객체_추출,전하,강화,속,체중,신부,현재_위치,고유,데이터베이스,안전
31,페어링,등록,편의,근거리_통신,제스처,검색,어플리케이션,스마트폰,인증_요청,차,입출력,고려,선별,대상,조명,구분,실내,변화,이탈,음향
32,통합,각각,발산,음원,저온,권장,스마트폰,주요_표면,광_입사,광_가이드,광_변조기,단색_광원,분산,컬러,지향,달성,인접,멀티미디어,변조,설명
33,구속,스킨,검증,요성,신원,칩,가요,사지,크랙,전자_서명,공부,팩터,인간,복용,인공,복약,스트레칭,동력,파악,안전벨트
34,저항,가스,변화,알고리즘,사이즈,단자,변형,기한,링,배출,두피,유입,베이스_기재,안테나,발휘,다음,컨텍스트,굴곡,필름,헤어밴드
35,현재_위치,객체_추출,일정,궤,투명,이전,바닥,앞면,평상시,데,뒷면,조건,시청,작업자,차폐,포인터,의도,추출,신체_일부,발생_시
36,제조_방법,섬유,기판,전도,제조,공정,소자,플렉서블,고분자,소재,금속,열,박막,투명,안정,발광,코팅,재료,회로,때문
37,시스템,정보,방법,이용,제공,서버,이,기기,수신,상태,것,기반,단계,생체,결과,전송,장치,판단,디바이스,출력
38,뇌졸중_발생,예측_뇌졸중,뇌졸중,뇌파,곳,발생_예측,지정,내부,패드,보행,청구,피부_접촉,저항,안면,관련,스위치,단자,광소자,공유_서비스,전극
39,수퍼_커패시터,중량,지지,사각,변형,규정,서스펜션,고유_식별,우수,폴,지지대,분야,내벽,외측,정의,푸시,바인,위,가역,하반신
