,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,이벤트,스캔,주문,보조,변수_도출,부품,맞춤_합판,합판,합판_구매,전처_리부,활용,치수,전달,키워드,배송,화부,확장,에이전시,군,바이스
1,공기조화,운전_모드,관리자,번역,감_수단,번역_소프트웨어,번역_응답,차_번역본,수락,이동_로봇,측면,운전,공기_조화,실외기,실내,이용한,의뢰,컴퓨팅_장치,반복,프로_파일
2,데이터베이스_저장,처_리부,로직,차주,설명,룰,부품,활용,화주,화물_배차,예정,자,일정,파라미터,때,시장,스마트_디바이스,수명,유출,컴퓨터
3,데,상품,다음,시험,로봇_팔,처,형식,프랙털,관절,무게,단위,토폴로지,사이버네틱_디바이스,대기_상태,배열,기계,사물,인코딩,실질,가지
4,구분,플라이_언스,시뮬레이션,계측,토대,가시,다중,연결,빛,전력,조성,적응,의사_결정,수정,제품,동승자,초점,화음,악기,파이프라인
5,단계,생성,학습,데이터,기반,입력,시스템,사용,이용,제어,수신,장치,정보,결과,수행,서버,부,분석,출력,영상
6,과제_매칭,과제,지원자,컴퓨터,기록,하나_이상,종류,다중,화상,클러스터,생물,생존,상부,챔버,배경,하나,단위_기간,전광판,연속,획득
7,부합,오디오,디자인,환자,파싱,격지,아이템,취향,돌발,검색어,현실,소지,추천_주,얼리_상품,주_얼리,역할,사물,히트,비서,기억
8,운용,감정,중계,망_분리,공용,기관_망,망_연동,오랫동안,색,연결,보안,전달,참조,독립,연동,배기가스,신청,물리,기관,경제
9,환자_뇌,위상,코,환자,검출_나이,나_영역,파킨슨_병,후처리,흑,확대,각도_조절,양상,바이오_마커,멀티,관찰,가중_징,재분,자화율_맵,양_자화율,마스크
10,소리,시예,개시_일실,예,마이크,일_실시,컨_벌,블록체인,시계열,반복,제조_공정,파형,동시,필터,세트,뉴스,유도,활용,모델링,인터넷_망
11,구분,식별,카테고리,범위,스타일,컷,후보,회수,기능_모사,재미,뉴_네트워크,인간_두뇌,활용,터치,조기,사진,상품,요구,병렬,배
12,보험_청구,부당_청구,청구,비젼,정형,지식,탐지,기준,작업자,단가,부당,보험금,사고,육안,동시,통보,도메인,모형,피로,객관화
13,플레이어,데이터베이스_구축,설명,상술,의도,외부,주문,예상,예약,스크립트,물건,발전량,후보,속성,항해,압축,예비,지휘관,함정,트윈
14,수단,고정,처_리부,부분,종래,외부,각종,차원,배출,신속,도로,배치,연결,변화,표면,동시,일반,일정,물질,측면
15,송풍,시퀀스,고속,풍향,왜곡,단말기,벡터,블릿,우세,서브_밴드,고채,사양,인덱스,푸시_메시지,채널,양자,채도,에너지,다채널,채
16,오픈,대비_검수,작업_단가,이벤트,보행자,적색,녹색,기업,메신저,설문_조사,제약,챗_봇,양태,의학,약국,약물_치료,증원,감원,점,다중접속
17,제품,해상,화질_비디오,범용_신경망,가격,해상도,이하,측,보유,요청,대표,파라미터,식별,요구,치매,피처,번,엣지,스턴트,용도
18,식별,검사,믹서,요추_영역,입체,스캐닝,지속,일상,디스크,슬라이스,조직,중첩,계정_과목,압축기,팬_모터,라이프,주제,탑승자,축소,구분
19,플랫폼_광고,광고,플레이,스포츠,채널,터치,광고주,경기,현실,상대방,진행,멀티,시뮬레이션,산업,각도,분야,원활,성능,일정,인증
20,생성_싱,싱_기반,기반_프로젝트,프로젝트,작업자,검수,작업,작업_결과,반려,참여,요청,작업자_배정,복수_검수,배정_검수,프로젝트_이하,검수_통과,부여,복수,피드백,각각
21,연관,암호_화폐,컴퓨터,여부_결정,예측,승인,트랜잭션_트랜잭션,거절_가능,기초_거래소,입금_트랜잭션,거래소_입금,입금_승인,프로그램_코드,수집,활용,거래,질의,복수,도출,응답
22,수신_통신부,본원_일,의뢰,산_출부,내역_패턴,파라미터,통신부,신규,구매,추천,사용_말,패턴,기준,발신,산출,전송,호,잔향_시간,주파수_응답,테스트_오디오
23,상승,온라인_쇼핑몰,프로모션,위생,프로세스,배_출부,기술_접목,기체,색감,발달,일실_시예,차_산업,기체_상부,반경,별도,축,즉석,이송_로봇,빅_데이터,용기
24,자연어,기계,말뭉치_구축,원시_말뭉치,공유,연결,말뭉치,계층,예,매체,취약,구분,기준,일_실시,자기,청각,시력,보조,성능,상응
25,요청,단말,서비스,단말기,어플리케이션,스피커,연계,음성_명령,개인,진행,증강_현실,호출,스마트,저장_장부,고객,빅_데이터,등록,디지털,주변,콘텐츠
26,필터링,전면,체결,서부,업로드,펌핑,주행부,판매,파트너_쉽,구매자_물품,금,파트너_업체,판매_물품,체결_요청,물품_배송,션,주기,정제,측,장애물
27,때,지식,코딩,웨어_러블,식부,프로그래밍,인력,할당,차원,상호_작용,의미,고객,이전_트,업데이트,분산,운동,동시,센터,처방,요구
28,소프트웨어,금융,교부,순서,정확도,레터,히스토리,가상,투자_상품,미래_시나리오,낙찰가,도달,차이,뉴_네트워크,곡,작곡,화성,멜로디,편곡,경매
29,불편,수화_통역,수화자,통역,해소,수화,의사소통,일반인,경쟁,이벤트,정확도_향상,미들웨어,판매자,구매자,판매,등록,간접,레거시,대금,입자
