,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,조각,파일_조각,극복,속도_향상,사이즈_파일,한계,송출,의미,퍼스널,제로_클라이언트,소스,고정,작시,유사_도,시간_지연,머신,아바타,가속,시나리오,허브
1,메모리_클러스터,도구,혼합물,물,콘_텐트,결정질_변형,구충,기생충,박멸,달성,외,살충,해충,컨테이너_구조,공격,이동식,프로,조성물,세션,제조
2,하이퍼_바이저,스마트_폰,템플_릿,명령어,레이저,조작,휴대,복_제본,미디어_콘텐츠,집중,호,엔드,후킹,조명,파악,패턴,침입,방향,건물,대회
3,공부,종속,클립보드_저장,클립보드,식부,라이다,문서_클립보드,온디,멘,식_별부,지도,드,레벨,로밍,근본,보정,컨텍스트,그레,냉난방,차선
4,서비스,수신,장치,서버,데이터,정보,저장,기반,사용,생성,요청,전송,이용,개시,단계,관리,시스템,제공,수행,상기
5,게임,플로우,세션,부호,실내,지상파,라우터,부호어,규칙,부호_화기,고객,플레이,행렬,게임_플레이,유효,표준,패리티_검사,검사_행렬,기준치_부호,부호_패리티
6,함유,조성물,유기,중합체,앨범,중량,인쇄_작업,산,방향,도출,라우터,알킬,실리콘,활성제,보드,폴리_실록,계정,후속,물,시퀀스
7,요건,스케줄링,양,말기,중개,정확도_향상,오버헤드,고유값,후보_군,스케줄,마스터_센서,제삼자,분산_병렬,캐리어,싱하,스냅샷,수정,연합,후속,최적화
8,액세스_포인트,기기_페어링,수퍼_컴퓨팅,실마리,자_주식,고도_지능,소비,비콘,양상,청시,고객,질병,트랜잭션,증,터미널,세션,터,선호도,로그인,치료
9,주차장,엔드_포인트,입_차,레이어,차량_번호,주차,제조,출차,운전자,차량_번호판,구별,모바일_주차,생성물,커뮤니케이션,회,문제점_해결,순도,닐_형,피_닐,설폰
10,검증,속,댁내,양자,인_스턴스,고속,생성기,인증_절차,비대칭_암호,사난_수생,고속_대칭,대칭_암호,양자_난수,키_양자,의사_난수,성기,발송,게임,추상,난수
11,상품,표현,동영상,관제,네임,대표,계획,실제,가격,업그레이드,에너지_사용량,어용,유무_선,시각,투자,구매,업체,기간,셋_탑,제고
12,중개,사항,무선_통신,검진_고유,담당_사별,담당_의사,캡슐_내시경,피검자,데스크_탑,파워,소비,효율_향상,동의,그인,웨어,유선_무선,대처,규칙,보체,치료제
13,비용_절감,스캔,수립,조합,종단,포워딩,단자,운전,딩,주요,미들웨어,엔터_프라이즈,패턴,공기_조화,종,접촉,둘_이상,인가,운전_모드,공기조화
14,로그인,멤버,상대,수동,융합,카드,디맨드,인덱싱,소지,증가,시공간,대체,계정,확정,접목,넷,도커,플라이_언스,해,내부망
15,미세_섬유,룰_오즈,무기_미립자,관리기,섬유,수성,셀,재료,현탁액,주소록,보증,인체,기재,맞춤,드레싱,속기,보고서,사서,악영향,원소
16,테스트_결과,테스트_스크립트,일치_여부,유저_인터페이스,개발,신뢰도,기_설정,사업자,테스트,커뮤니티,수익,전자_액자,엑세스_포인트,공유_커뮤니티,허브_중심,화물_운송,화물차,주선,배차,운송업자
17,무선_통신부,그것,무선_통신,프록시,테_시,가입자,응용_프로그램,함수,아이덴티티,절차,책임,엘리먼트,수정,마스터,중심,공개_키,검증,유지_보수,공급자,테_넌
18,예시,기술_일반,계정,설명_일부,메뉴,인터넷_망,방,전환,분해,라벨,브로커,통제,출원,니지,디지털_사이,판독,보안_통제,전부,보고,판별
19,드라이브,재배,작물,온실,부착,격리,계약,분실,운반,질환_치료,마운트_드라이브,마운트_요청,증가,디스크_마운트,사본,명과,미디어_콘텐츠,펄스,캐스트,함수
